Fondo,SAFM,Moneda,Valor Cuota,Mes,Status,Variación Anual 2023,Últimos 12 Meses
BBVA Super $ 12,BBVA Asset Management,US$,"101,86",,"0,40%","0,40%",-
BBVA Super $ 13,BBVA Asset Management,US$,"100,65",,"0,33%","0,33%",-
BBVA Super $ 8,BBVA Asset Management,US$,"105,32",,"0,47%","0,47%",-
BBVA Super $ 9,BBVA Asset Management,US$,"104,50",,"0,43%","0,43%",-
Renta En Dólares 3Y VI,Credicorp Capital,US$,"100,81",,"0,27%","0,27%",-
Renta En Dólares 4Y VI,Credicorp Capital,US$,"105,33",,"0,33%","0,33%","4,92%"
CC Renta Optimizad II,Credicorp Capital,US$,"103,30",,"0,46%","0,46%",-
CC Renta Optimizad IV,Credicorp Capital,US$,"102,91",,"0,45%","0,45%",-
CC Renta Optimizad VI,Credicorp Capital,US$,"102,59",,"0,37%","0,37%",-
CC Renta Optimizad Inst II,Credicorp Capital,US$,"102,41",,"0,43%","0,43%",-
Deuda Corporativa Latam High Yield,Credicorp Capital,US$,"114,23",,"0,37%","0,37%","4,90%"
Sura Plazo Definido US I,Fondos Sura,US$,"104,16",,"0,40%","0,40%",-
Sura Plazo Definido US II,Fondos Sura,US$,"100,85",,"0,31%","0,31%",-
IF Cupón Latam,Interfondos,US$,"45,17",,"-0,17%","-0,17%","3,30%"
IF Libre Disponibilidad $,Interfondos,US$,"114,06",,"0,41%","0,41%","4,45%"
,,,,,,,
FONDOS MUTUOS,,,,,,,
MIXTOS,,,,,,,
,,,,,,,
,SAFM,Moneda,Valor Cuo,ta,Mes,Variación,Últimos
Mixtos,,,Mes,,,Anual 2023,12 Meses
Credicorp Capital Crecimiento VCS,Credicorp Capital,S/,"150,37",,"2,98%","2,98%","13,76%"
Credicorp Capital Moderado VCS,Credicorp Capital,S/,"152,03",,"1,52%","1,52%","8,92%"
IF Mixto Moderado Soles,Interfondos,S/,"149,96",,"1,24%","1,24%","7,08%"
,,,,,,,
,,,,,,,
Mixtos,,,,,,,
Credicorp Capital Equilibrado,Credicorp Capital,US$,"136,38",,"0,66%","0,66%","10,33%"
Credicorp Capital Moderado,Credicorp Capital,US$,"55,02",,"0,37%","0,37%","6,25%"
IF Mixto Balanceado,Interfondos,US$,"65,30",,"1,25%","1,25%","11,99%"
Scotia Fondo Mixto Balanceado,Scotia Fondos,US$,"10,41",,"0,11%","0,11%","6,94%"
FONDOS MUTUOS DE,,,,,,,
ACCIONES,,,,,,,
,SAFM,Moneda,Valor Cuo,ta,Mes,Variación,Últimos
De Acciones,,,Mes,,,Anual 2023,12 Meses
Sura Acciones FMIV,Fondos Sura,S/,"14,86",,"2,68%","2,68%","20,09%"
IF Acciones Soles,Interfondos,S/,"104,12",,"3,72%","3,72%","14,53%"
Scotia Fondo Acciones,Scotia Fondos,S/,"10,03",,"3,45%","3,45%","15,55%"
De Acciones,,,,,,,
Credicorp Capital Acciones Global,Credicorp Capital,US$,"165,31",,"0,20%","0,20%","9,93%"
Credicorp Capital Acciones,Credicorp Capital,US$,"152,25",,"1,34%","1,34%","18,10%"
PHI RV Estrategia Global Serie A,Prudential SAF,US$,"10,87",,"0,42%","0,42%",-
PHI RV Estrategia Global Serie B,Prudential SAF,US$,"10,96",,"0,55%","0,55%",-
Faro Capital Global Innovation- Serie A,Faro Capital,US$,"85,17",,"-2,85%","-2,85%","9,57%"
Faro Capital Global Innovation- Serie B,Faro Capital,US$,"115,38",,"-2,87%","-2,87%","9,31%"
Faro Capital Global Innovation- Serie C,Faro Capital,US$,"114,27",,"-2,89%","-2,89%","9,05%"
Faro Capital Renta Variable Global - Serie A,Faro Capital,US$,"135,61",,"0,21%","0,21%","10,22%"
Faro Capital Renta Variable Global - Serie B,Faro Capital,US$,"133,37",,"0,18%","0,18%","9,96%"
Faro Capital Renta Variable Global - Serie C,Faro Capital,US$,"129,79",,"0,14%","0,14%","9,43%"
Promoinvest Fondo Selectivo,Promoinvest,US$,"3,00",,"0,87%","0,87%","7,11%"
FONDOS MUTUOS DE,,,,,,,
FONDO BURSÁT,IL ETF,,,,,,
,SAFM,Moneda,Valor Cuo,ta,Mes,VariaciónAnual 2023,Últimos12 Meses
Fondo Bursátil,,,Mes,,,,
Van Eck El Dorado,El Dorado,US$,"11,00",,"0,72%","0,72%","22,34%"
FONDOS MUTUOS DE,,,,,,,
ESTRUCTURADO,S,,,,,,
,SAFM,Moneda,Valor Cuo,ta,Mes,VariaciónAnual 2023,Últimos12 Meses
Estructurados,,,Mes,,,,
Barrera Condicional XIII,Credicorp Capital,US$,"108,57",,"-0,30%","-0,30%","-0,75%"
CC CUPON ESCALONADO L,Credicorp Capital,US$,"100,24",,"0,25%",-,-
CC CUPON ESCALONADO LI,Credicorp Capital,US$,"100,23",,"0,23%",-,-
CC CUPON ESCALONADO LII,Credicorp Capital,US$,"100,37",,"0,37%",-,-
CC CUPON ESCALONADO XL,Credicorp Capital,US$,"101,93",,"0,40%","0,40%",-
CC CUPON ESCALONADO XLI,Credicorp Capital,US$,"101,92",,"0,73%","0,73%",-
CC CUPON ESCALONADO XLII,Credicorp Capital,US$,"101,76",,"0,40%","0,40%",-
CC CUPON ESCALONADO XLIII,Credicorp Capital,US$,"102,21",,"0,39%","0,39%",-
CC CUPON ESCALONADO XLIV,Credicorp Capital,US$,"101,12",,"0,32%","0,32%",-
CC CUPON ESCALONADO XLIX,Credicorp Capital,US$,"100,75",,"0,46%","0,46%",-
CC CUPON ESCALONADO XLV,Credicorp Capital,US$,"101,19",,"0,38%","0,38%",-
CC CUPON ESCALONADO XLVI,Credicorp Capital,US$,"101,24",,"0,39%","0,39%",-
CC CUPON ESCALONADO XLVII,Credicorp Capital,US$,"100,63",,"0,38%","0,38%",-
CC CUPON ESCALONADO XXV,Credicorp Capital,US$,"104,90",,"0,33%","0,33%","4,77%"
CC CUPON ESCALONADO XXVI,Credicorp Capital,US$,"104,72",,"0,41%","0,41%",-
CC CUPON ESCALONADO XXVIII,Credicorp Capital,US$,"104,35",,"0,49%","0,49%",-
CC CUPON ESCALONADO XXx,Credicorp Capital,US$,"103,75",,"0,46%","0,46%",-
CC CUPON ESCALONADO XXxII,Credicorp Capital,US$,"103,36",,"0,40%","0,40%",-
CC CUPON ESCALONADO XXxVI,Credicorp Capital,US$,"102,34",,"0,42%","0,42%",-
BTG RENDIMIENTO DOLARES  1 FMIV,BTG Pactual Perú,US$,"102,23",,"0,46%","0,46%",-
IF 33 CUSTODIA DOLARES FMIV,Interfondos,US$,"52,03",,"0,39%","0,39%",-
IF 34 CUSTODIA DOLARES FMIV,Interfondos,US$,"51,54",,"0,44%","0,44%",-
IF 35 CUSTODIA DOLARES FMIV,Interfondos,US$,"50,69",,"0,37%","0,37%",-
IF 36 CUSTODIA DOLARES FMIV,Interfondos,US$,"50,48",,"0,40%","0,40%",-
IF 37 CUSTODIA DOLARES FMIV,Interfondos,US$,"50,21",,"0,34%",-,-
SF RENDIMIENTO BINARIO DOLARES XI,Scotia Fondos,US$,"102,89",,"0,23%","0,23%","2,84%"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
FONDOS MUTUOS,,,,,,,
FONDOS DE FON,DOS,,,,,,
,,,,,,,
,SAFM,Moneda,Valor Cuo,ta,Mes,VariaciónAnual 2023,Últimos12 Meses
Fondos de Fondos,,,Mes,,,,
FF Credicorp Capital Vision-S II,Credicorp Capital,S/,"107,09",,"2,28%","2,28%","3,67%"
Fondo de Fondos Sura Capital Estratégico I FMIV - Serie A,Fondos Sura,S/,"137,48",,"2,60%","2,60%","3,81%"
Fondo de Fondos Sura Capital Estratégico I FMIV - Serie B,Fondos Sura,S/,"140,95",,"2,63%","2,63%","4,06%"
Fondo de Fondos Sura Capital Estratégico II FMIV - Serie A,Fondos Sura,S/,"136,85",,"2,49%","2,49%","4,08%"
Fondo de Fondos Sura Capital Estratégico II FMIV - Serie B,,,,,,,
,,,,,,,
,,,,,,,
Fondo de Fondos,,,,,,,
BBVA Apreciacion Capital,BBVA Asset Management,US$,"128,29",,"0,75%","0,75%","8,73%"
BBVA Generación Flujo,BBVA Asset Management,US$,"95,69",,"-0,88%","-0,88%","1,18%"
BBVA Preservacion Capital,BBVA Asset Management,US$,"102,53",,"0,40%","0,40%","4,20%"
FDF BBVA Acciones Global MIL,BBVA Asset Management,US$,"110,01",,"1,63%","1,63%","8,20%"
BBVA ACC Tendencia Global,BBVA Asset Management,US$,"111,36",,"-0,60%","-0,60%","5,68%"
FDF BBVA Acciones Global RE,BBVA Asset Management,US$,"88,53",,"-3,40%","-3,40%","-4,23%"
BBVA Distr Est Globales,BBVA Asset Management,US$,"111,17",,"0,24%","0,24%","4,77%"
BBVA  High Yield,BBVA Asset Management,US$,"99,73",,"-0,12%","-0,12%","8,21%"
BBVA Conservador Dólares,BBVA Asset Management,US$,"165,27",,"-0,02%","-0,02%","3,52%"
BBVA Conservador Soles,BBVA Asset Management,US$,"247,09",,"0,01%","0,01%","4,84%"
BBVA Dinamico Dólares,BBVA Asset Management,US$,"60,19",,"-0,04%","-0,04%","4,79%"
BBVA Dinamico Soles,BBVA Asset Management,US$,"111,21",,"-0,08%","-0,08%","6,31%"
BBVA Equilibrado Dólares,BBVA Asset Management,US$,"100,17",,"-0,07%","-0,07%","4,35%"
BBVA Equilibrado Soles,BBVA Asset Management,US$,"133,42",,"-0,04%","-0,04%","5,63%"
BBVA inversión Sostenible,BBVA Asset Management,US$,"95,41",,"-0,86%","-0,86%","2,76%"
Investment Grade,Credicorp Capital,US$,"112,39",,"-0,34%","-0,34%","3,59%"
Credicorp Capital Vision I,Credicorp Capital,US$,"114,84",,"-0,27%","-0,27%","2,48%"
Credicorp Capital Vision III,Credicorp Capital,US$,"143,90",,"0,00%","0,00%","6,57%"
Fondo de Fondos Credicorp Capital Deuda Global,Credicorp Capital,US$,"109,78",,"-0,35%","-0,35%","1,95%"
Fondo de Fondos Credicorp Acciones Latam Pacífico,Credicorp Capital,US$,"60,02",,"-5,07%","-5,07%","11,71%"
Acciones Asia,Credicorp Capital,US$,"109,11",,"-5,29%","-5,29%","-12,86%"
Acciones Estados Unidos,Credicorp Capital,US$,"210,84",,"4,16%","4,16%","31,76%"
Acciones Europa,Credicorp Capital,US$,"161,02",,"1,05%","1,05%","14,97%"
Credicorp Capital Activos Preferentes,Credicorp Capital,US$,"114,48",,"1,05%","1,05%","4,64%"
Deuda Flotante,Credicorp Capital,US$,"122,04",,"0,65%","0,65%","8,81%"
Deuda High Yield Global,Credicorp Capital,US$,"122,42",,"0,34%","0,34%","7,53%"
Acciones Innovacion,Credicorp Capital,US$,"95,06",,"5,67%","5,67%","37,75%"
Acciones Sector Seguridad,Credicorp Capital,US$,"137,04",,"1,39%","1,39%","14,32%"
Renta Estrategica,Credicorp Capital,US$,"112,04",,"0,24%","0,24%","4,74%"
CC Acciones China,Credicorp Capital,US$,"45,20",,"-9,94%","-9,94%","-35,52%"
Credicorp Capital Vision II,Credicorp Capital,US$,"133,46",,"-0,15%","-0,15%","4,96%"
F de F Credicorp Tendencias Globales,Credicorp Capital,US$,"92,99",,"2,03%","2,03%","21,50%"
F de F Credicorp Deuda Flexible,Credicorp Capital,US$,"98,26",,"-0,18%","-0,18%","4,12%"
CC Impacto Sostenible,Credicorp Capital,US$,"81,13",,"-0,54%","-0,54%","2,23%"
CC Latam,Credicorp Capital,US$,"103,42",,"-4,50%","-4,50%",-
FF Renta Global Investment Grade,Credicorp Capital,US$,"107,79",,"-0,29%","-0,29%","2,98%"
Fondo de Fondos Credicorp Capital Deuda Latam,Credicorp Capital,US$,"126,81",,"0,33%","0,33%","4,29%"
Consumo Global,Credicorp Capital,US$,"159,98",,"2,99%","2,99%","14,08%"
Part y Crec Int Blanco Serie A,Blanco SAFI,US$,"1,01",,"-1,15%","-1,15%",-
Part y Crec Int Blanco Serie B,Blanco SAFI,US$,"1,01",,"-1,38%","-1,38%",-
F de F BTG Renta Internacional SERIE A,BTG Pactual Perú,US$,"105,97",,"-0,31%","-0,31%","4,11%"
ACCIONES GLOBAL OPTIMIZADO FMIV - SERIE A,El Dorado,US$,"99,89",,"2,14%",-,-
EACCIONES GLOBAL OPTIMIZADO FMIV - SERIE B,El Dorado,US$,"99,89",,"3,02%",-,-
El Dorado Renta Variable Global - Serie B,El Dorado,US$,"116,10",,"-0,35%","-0,35%","10,51%"
El Dorado Instrumento Deuda - Serie A,El Dorado,US$,"112,49",,"0,98%","0,98%","10,48%"
El Dorado Instrumento Deuda - Serie I,El Dorado,US$,"111,58",,"0,96%","0,96%","10,14%"
El Dorado Instrumento Deuda - Serie B,El Dorado,US$,"112,73",,"0,99%","0,99%",-
El Dorado Crecimiento Inmobiliario - Serie B,El Dorado,US$,"108,9",3,"-0,06%","-0,06%","2,41%"
F de F Faro Capital Deuda Global,Faro Capital,US$,"97,3",9,"-0,46%","-0,46%","1,20%"
Global Inovation Faro Capital,Faro Capital,US$,"114,5",2,"-2,91%","-2,91%","8,61%"
F de F Faro Capital Renta Variable Global,Fondos Sura,US$,"135,3",6,"0,12%","0,12%","9,19%"
FDF Sura Corto Plazo Global,Fondos Sura,US$,"106,1",4,"0,45%","0,45%","4,86%"
Fondo de Fondos Sura Acciones Norteamericanas FMIV,Fondos Sura,US$,"23,5",1,"1,79%","1,79%","18,72%"
Fondo de Fondos Sura Acciones Globales FMIV,Fondos Sura,US$,"13,5",9,"0,62%","0,62%","13,20%"
Fondo de Fondos Sura Bonos Globales FMIV - Serie A,Fondos Sura,US$,"102,8",5,"0,06%","0,06%","3,75%"
Fondo de Fondos Sura Bonos Globales FMIV - Serie B,Fondos Sura,US$,"85,3",9,"0,03%","0,03%","-0,16%"
Sura Deuda Privada Global FMIV,Fondos Sura,US$,"10.073,1",6,"0,50%","0,50%","1,96%"
Sura Real Estate Global Income FMIV,Fondos Sura,US$,"12.029,3",6,"-0,11%","-0,11%","-12,44%"
Fondo de Fondos Sura Selección Global I FMIV - Serie A,Fondos Sura,US$,"121,3",3,"0,27%","0,27%","7,03%"
Fondo de Fondos Sura Selección Global I FMIV - Serie B,Interfondos,US$,"123,4",7,"0,29%","0,29%","7,28%"
IF Global Thematics,Interfondos,US$,"48,5",2,"1,20%","1,20%","14,53%"
IF Deuda Global,Interfondos,US$,"48,5",4,"-0,17%","-0,17%","1,13%"
FDF IF Inversion EEUU,Interfondos,US$,"58,6",6,"1,33%","1,33%","16,89%"
IF RealState Student Accommodation,Interfondos,US$,"54,9",9,"1,55%","1,55%","3,48%"
FdF IF XIV Rend Global 360,Interfondos,US$,"52,3",9,"0,45%","0,45%",-
FdF IF XIX Rend Global 360,Interfondos,US$,"51,3",3,"0,43%","0,43%",-
FdF IF XV Rend Global 360,Interfondos,US$,"52,2",0,"0,45%","0,45%",-
FdF IF XVI Rend Global 360,Interfondos,US$,"52,0",7,"0,45%","0,45%",-
FdF IF XVII Rend Global 360,Interfondos,US$,"51,9",1,"0,44%","0,44%",-
FdF IF XVIII Rend Global 360,Interfondos,US$,"51,4",8,"0,43%","0,43%",-
FdF IF XX Rend Global 360,Interfondos,US$,"51,1",1,"0,46%","0,46%",-
FdF IF XXI Rend Global 360,Interfondos,US$,"50,9",0,"0,46%","0,46%",-
FdF IF XXII Rend Global 180,Interfondos,US$,"50,6",4,"0,46%","0,46%",-
Scotia Fondo de Fondos Corto Plazo Internacional,Scotia Fondos,US$,"10,5",4,"0,59%","0,59%","2,60%"
FF Institu RF Global,Scotia Fondos,US$,"1.058,7",2,"0,26%","0,26%",-
Scotia Fondo de Fondos Acciones Europa,Scotia Fondos,US$,"10,6",5,"-1,66%","-1,66%","12,58%"
Scotia Fondo De Fondos Acciones US,Scotia Fondos,US$,"22,0",1,"4,84%","4,84%","30,64%"
Scotia Fondo de Fondos Deuda HY,Scotia Fondos,US$,"10,7",9,"0,21%","0,21%","6,49%"
Scotia Fondo de Fondos Deuda IG,Scotia Fondos,US$,"9,9",6,"0,18%","0,18%","3,45%"
Scotia Fondo Acciones Emergentes,Scotia Fondos,US$,"4,0",0,"-2,39%","-2,39%","-5,04%"
SF Fondo de Fondos Distributivo HY,Scotia Fondos,US$,"990,4",8,"0,23%","0,23%","1,75%"
SF Fondo de Fondos Distributivo HY II,Scotia Fondos,US$,"802,9",9,"0,21%","0,21%","0,03%"
SF Fondo de Fondos Distributivo IG,Scotia Fondos,US$,"942,8",0,"0,19%","0,19%","0,66%"
Scotia Fondo de Fondos Igualdad de Genero,Scotia Fondos,US$,"9,5",2,"2,42%","2,42%","12,36%"
FONDOS MUTUOS,,,,,,,
FLEXIBLES,,,,,,,
,,,,,,Variación,Últimos
,SAFM,Moneda,Valor Cuo,ta,Mes,,
Flexibles,,,Mes,,,Anual 2023,12 Meses
Deuda Corporativa Soles,Credicorp Capital,S/,"112,97",,"1,68%","1,68%","14,19%"
CC Factoring Soles,Credicorp Capital,S/,"122,24",,"0,77%","0,77%","8,56%"
Coril Cash Conservador soles,Coril SAF,S/,"1.094,33",,"0,54%","0,54%","6,35%"
Blum Cash S/ FM BLUM SAF,Blum SAF,S/,"10,69",,"0,55%","0,55%",-
IF Futuro Seguro Soles,Interfondos,S/,"97,40",,"0,33%","0,33%","6,42%"
IF Oportunidad Soles SERIE A,Interfondos,S/,"141,37",,"0,65%","0,65%","8,19%"
IF Oportunidad Soles SERIE B,Interfondos,S/,"141,93",,"0,66%","0,66%","8,32%"
IF Portafolio Dinámico Soles - Serie A,Interfondos,S/,"130,85",,"0,52%","0,52%","7,03%"
IF Portafolio Dinámico Soles - Serie B,Interfondos,S/,"130,98",,"0,56%","0,56%","7,14%"
Scotia Fondo Deposito Disponible Soles,Scotia Fondos,S/,"11,91",,"0,43%","0,43%","-12,26%"
Scotia Fondo Cash S/,Scotia Fondos,S/,"20,05",,"-0,41%","-0,41%","-6,37%"
Scotia Fondo Premium S/,Scotia Fondos,S/,-,,-,-,-
SF Renta Sol 1Y,Scotia Fondos,S/,"1.046,84",,"0,80%","0,80%",-
SF RENTA SOLES 6M IV FMIV,Scotia Fondos,S/,"10,15",,"0,74%","0,74%",-
Flexibles,,,,,,,
CC Factoring Dolares,Credicorp Capital,US$,"104,73",,"0,87%","0,87%",-
Renta Operativa I,Credicorp Capital,US$,"128,03",,"0,46%","0,46%","6,77%"
BDC Deuda Diversificada,BD Capital,US$,"87,72",,"0,65%","0,65%","-0,48%"
PHI Deuda Serie A,Prudential SAF,US$,"10,06",,"-0,73%","-0,73%",-
PHI Deuda Serie B,Prudential SAF,US$,"10,12",,"-0,65%","-0,65%",-
Independiente Agresivo,Independiente,US$,"102,70",,"0,47%","0,47%","10,58%"
Independiente PMG,Independiente,US$,"103,55",,"0,38%","0,38%","5,48%"
BLUM SAF-Blum Capital Global FM SERIE A,Blum SAF,US$,"12,17",,"2,06%","2,06%","11,21%"
BLUM SAF-Blum Capital Global FM SERIE B,Blum SAF,US$,"12,14",,"2,04%","2,04%","11,01%"
BLUM SAF-Blum Capital Global FM SERIE I,Blum SAF,US$,"12,20",,"2,08%","2,08%","11,45%"
Blum Cash FM BLUM SAF,Blum SAF,US$,"10,61",,"0,41%","0,41%","4,75%"
Blum Money Market Dolares,Blum SAF,US$,"10,48",,"0,41%","0,41%",-
Blum Global Serie A,Blum SAF,US$,"10,15",,"1,23%","1,23%","5,39%"
Blum Global Serie B,Blum SAF,US$,"10,12",,"1,22%","1,22%","5,24%"
Blum Global Serie I,Blum SAF,US$,"10,18",,"1,25%","1,25%","5,59%"
Faro Capital Deuda Global - Serie A,Faro Capital,US$,"102,32",,"-0,42%","-0,42%","1,89%"
Faro Capital Deuda Global - Serie B,Faro Capital,US$,"101,48",,"-0,43%","-0,43%","1,77%"
Sura Deuda Latam Dólares,Fondos Sura,US$,"3.500,55",,"0,00%","0,00%","-42,39%"
IF Futuro Seguro Dólares,Interfondos,US$,"46,69",,"0,20%","0,20%","4,29%"
IF Inversión Global,Interfondos,US$,"63,23",,"0,35%","0,35%","8,46%"
IF Oportunidad SERIE A,Interfondos,US$,"57,64",,"0,32%","0,32%","3,40%"
IF Oportunidad SERIE B,Interfondos,US$,"57,96",,"0,34%","0,34%","3,59%"
IF Portafolio Dinámico,Interfondos,US$,"70,34",,"0,34%","0,34%","4,93%"
Scotia Fondo Cash $,Scotia Fondos,US$,"15,67",,"-0,70%","-0,70%","-3,54%"
Scotia Fondo Premium $,Scotia Fondos,US$,"19,99",,"-0,48%","-0,48%","2,69%"
Scotia Fondo Corto Plazo Plus $ FMIV,Scotia Fondos,US$,"10,23",,"0,40%","0,40%",-
SF Institucional Renta IX,Scotia Fondos,US$,"1.099,58",,"-3,62%","-3,62%",-
SF INSTITUCIONAL DE RENTA $ VIII,Scotia Fondos,US$,"1.108,80",,"-3,51%","-3,51%","8,30%"
SF Institucional Renta X,Scotia Fondos,US$,"1.102,92",,"-2,92%","-2,92%",-
SF Institucional Renta XI,Scotia Fondos,US$,"1.047,65",,"-1,36%","-1,36%",-
SF INSTITUCIONAL DE RENTA $ V,Scotia Fondos,US$,"1.104,37",,"-3,01%","-3,01%","3,79%"
SF INSTITUCIONAL DE RENTA $ VI,Scotia Fondos,US$,"1.133,24",,"-3,11%","-3,11%","8,58%"
SF INSTITUCIONAL DE RENTA $ VII,Scotia Fondos,US$,"1.035,33",,"-2,65%","-2,65%","0,25%"
SF NOTA ESTRUCTURADA V,Scotia Fondos,US$,"92,54",,"1,37%","1,37%","-6,20%"
SF RENTA DÓLARES 1Y V,Scotia Fondos,US$,"10,54",,"0,53%","0,53%",-
SF RENTA $ 1Y VI,Scotia Fondos,US$,"10,35",,"0,50%","0,50%",-
SF Renta Dólares 1Y VII,Scotia Fondos,US$,"10,13",,"0,50%","0,50%",-
SF RENTA DOLARES 6M XVII FMIV,Scotia Fondos,US$,"10,32",,"0,50%","0,50%",-
SF RENTA DOLARES 6M XVIII FMIV,Scotia Fondos,US$,"10,23",,"0,53%","0,53%",-
SF NOTA ESTRUCTURADA IV,Scotia Fondos,US$,"88,42",,"-2,36%","-2,36%","-0,95%"
Scotia Fondo Deposito Disponible $,Scotia Fondos,US$,"11,33",,"0,25%","0,25%","0,74%"
SF Institucional de Renta Dólares II,Scotia Fondos,US$,"1.004,71",,"0,40%","0,40%","2,37%"
Nota: La rentabilidad o ganancia obtenida en el pas,"ado, no garantiza que se repita en el futuro.",Esta rentab,ilidad no inclu,ye el,efecto de las comis,iones de suscripció,"n y rescate,"
ni el impuesto a la renta. La rentabilidad se m,uestra ordenada alfabéticamente por Admini,stradora.,,,,,
Mes: Variación % de diciembre 2023 - enero 202,4 2023: Variación acumulada al cier,re de ener,o 2024,Utl 1,2 meses: Variació,n % Enero 23 - E,nero 2024
DISCLAIME,R,,,,,,
La información correspondiente,al reporte es obtenida del portal,de la Su,perinten,den,cia del Mercad,o de Valores,
(SMV) para el periodo correspond,iente.,,,,,,
El reporte ha sido elaborado por,"la AAF de forma descriptiva, sin",que sea,precisam,ent,e una recome,ndación de,
compra o venta de cuotas de par,ticipación de Fondos Mutuos. Ad,"emás, A",AF inform,a q,ue la rentabi,lidad o ganan,cia
"obtenida en el pasado, no garant",iza que se repita en el futuro y,dicha re,ntabilidad,no,incluye el efe,cto de las,
comisiones de suscripción y resc,"ate, ni el impuesto a la renta.",,,,,,
La categoria  de los fondos mutu,os flexibles incluye fondos mut,uos que,invierten,prin,cipalmente (,no totalmente,)
en deuda.,,,,,,,
