Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N,Años,Categoria,Fund id,Highest Return,Lowest Return,Avg Return (Arithmetic),Standard Deviation of Returns,Total Cumulative Return,Cumulative Return Period,Annualized Cumulative Return,CAGR,Sharpe Ratio,Risk
Corto Plazo Soles,-AC CASH PLUS S/ SERIE A,ANDEAN CROWN SAF S.A.C.,14/08/2024,S/.,10.26,0.0132,,,,,,,,,,,,48.0,0,Renta Fija,16,0.0132,0.0132,0.0264,,0.013200000000000075,0.5,0.02640000000000015,0.026574240000000193,,
Corto Plazo Soles,-AC CASH PLUS S/ SERIE B,ANDEAN CROWN SAF S.A.C.,14/08/2024,S/.,10.04,,,,,,,,,,,,,1.0,0,Renta Fija,17,,,,,,,,,,
Corto Plazo Soles,Prudential Corto Plazo S/.,PRUDENTIALSAF SAF,04/04/2024,S/.,0.0,,,,,,,,,,,,33605283.52,225.0,0,Renta Fija,18,,,,,,,,,,
Corto Plazo Soles,-Prudential Corto Plazo S/. SERIE A,PRUDENTIALSAF SAF,04/04/2024,S/.,10.66,0.0286,,,,,,,,,,,,219.0,0,Renta Fija,19,0.0286,0.0286,0.0572,,0.028599999999999993,0.5,0.05719999999999999,0.058017959999999924,,
Corto Plazo Soles,-Prudential Corto Plazo S/. SERIE B,PRUDENTIALSAF SAF,04/04/2024,S/.,10.56,0.029,,,,,,,,,,,,6.0,0,Renta Fija,20,0.029,0.029,0.058,,0.028999999999999915,0.5,0.05799999999999983,0.05884099999999992,,
Corto Plazo Dólares,Andean Crown Cash Plus $,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,0.0,,,,,,,,,,,,1562237.72,56.0,0,Renta Fija,21,,,,,,,,,,
Corto Plazo Dólares,-Andean Crown Cash Plus $ SERIE A,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,10.33,0.0272,,,,,,,,,,,,54.0,0,Renta Fija,22,0.0272,0.0272,0.0544,,0.027199999999999846,0.5,0.05439999999999969,0.05513983999999983,,
Corto Plazo Dólares,-Andean Crown Cash Plus $ SERIE B,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,10.34,0.0283,,,,,,,,,,,,2.0,0,Renta Fija,23,0.0283,0.0283,0.0566,,0.02829999999999998,0.5,0.05659999999999996,0.05740089000000004,,
Corto Plazo Dólares,Prudential Corto Plazo $,PRUDENTIALSAF SAF,08/01/2024,$,0.0,,,,,,,,,,,,18381003.83,155.0,0,Renta Fija,24,,,,,,,,,,
Corto Plazo Dólares,-Prudential Corto Plazo $ SERIE A,PRUDENTIALSAF SAF,08/01/2024,$,10.57,0.0106,,,,,,,,,,,,154.0,0,Renta Fija,25,0.0106,0.0106,0.0212,,0.01059999999999988,0.5,0.02119999999999976,0.021312359999999808,,
Corto Plazo Dólares,-Prudential Corto Plazo $ SERIE B,PRUDENTIALSAF SAF,08/01/2024,$,10.46,0.011,,,,,,,,,,,,1.0,0,Renta Fija,26,0.011,0.011,0.022,,0.010999999999999944,0.5,0.021999999999999888,0.022120999999999835,,
Estructurado,CC BARRERA CONDICIONAL XIII,CREDIFONDO SAF,15/06/2022,$,105.2,-0.0339,0.0037,0.0846,,,,,,,,,19165318.17,147.0,2,Estructurado,27,0.0846,-0.0339,0.021759999999999998,0.04957507707171686,0.05170903862200007,2.5,0.020683615448800027,0.02037131842438278,0.007490022130386545,Low
Estructurado,CC CUPON ESCALONADO LII,CREDIFONDO SAF,23/01/2024,$,106.7,0.0652,,,,,,,,,,,90001199.64,273.0,0,Estructurado,28,0.0652,0.0652,0.1304,,0.06519999999999997,0.5,0.13039999999999993,0.13465103999999983,,
Estructurado,CC CUPON ESCALONADO LV,CREDIFONDO SAF,26/02/2024,$,103.28,0.0295,,,,,,,,,,,74583450.47,245.0,0,Estructurado,29,0.0295,0.0295,0.059,,0.02950000000000003,0.5,0.05900000000000006,0.059870250000000125,,
Estructurado,CC CUPON ESCALONADO LVIII,CREDIFONDO SAF,04/02/2024,$,103.01,0.0271,,,,,,,,,,,94597654.71,378.0,0,Estructurado,30,0.0271,0.0271,0.0542,,0.027099999999999937,0.5,0.05419999999999987,0.05493440999999977,,
Estructurado,CC CUPON ESCALONADO LX,CREDIFONDO SAF,05/02/2024,$,102.53,0.0229,,,,,,,,,,,30513762.56,115.0,0,Estructurado,31,0.0229,0.0229,0.0458,,0.02289999999999992,0.5,0.04579999999999984,0.04632440999999976,,
Estructurado,CC CUPON ESCALONADO LXI,CREDIFONDO SAF,05/02/2024,$,102.52,0.0222,,,,,,,,,,,65740102.58,206.0,0,Estructurado,32,0.0222,0.0222,0.0444,,0.022199999999999987,0.5,0.044399999999999974,0.044892839999999934,,
Estructurado,CC CUPON ESCALONADO LXIII,CREDIFONDO SAF,13/06/2024,$,102.18,0.017,,,,,,,,,,,36554030.22,158.0,0,Estructurado,33,0.017,0.017,0.034,,0.016999999999999887,0.5,0.03399999999999977,0.03428899999999979,,
Estructurado,CC CUPON ESCALONADO LXIV,CREDIFONDO SAF,13/06/2024,$,102.46,0.0197,,,,,,,,,,,90052132.77,335.0,0,Estructurado,34,0.0197,0.0197,0.0394,,0.01969999999999999,0.5,0.03939999999999998,0.039788090000000054,,
Estructurado,CC CUPON ESCALONADO LXIX,CREDIFONDO SAF,30/07/2024,$,101.2,0.011,,,,,,,,,,,41519925.31,175.0,0,Estructurado,35,0.011,0.011,0.022,,0.010999999999999944,0.5,0.021999999999999888,0.022120999999999835,,
Estructurado,CC CUPON ESCALONADO LXVI,CREDIFONDO SAF,16/07/2024,$,101.51,0.0129,,,,,,,,,,,51673280.89,154.0,0,Estructurado,36,0.0129,0.0129,0.0258,,0.01289999999999992,0.5,0.02579999999999984,0.025966409999999884,,
Estructurado,CC CUPON ESCALONADO LXVII,CREDIFONDO SAF,16/07/2024,$,101.71,0.0147,,,,,,,,,,,70050885.42,274.0,0,Estructurado,37,0.0147,0.0147,0.0294,,0.014699999999999989,0.5,0.029399999999999978,0.029616089999999762,,
Estructurado,CC CUPON ESCALONADO LXVIII,CREDIFONDO SAF,30/07/2024,$,101.28,0.0118,,,,,,,,,,,337320730.15,1086.0,0,Estructurado,38,0.0118,0.0118,0.0236,,0.011800000000000067,0.5,0.023600000000000135,0.02373924000000005,,
Estructurado,CC CUPON ESCALONADO LXX,CREDIFONDO SAF,30/07/2024,$,101.32,0.0121,,,,,,,,,,,38127098.83,153.0,0,Estructurado,39,0.0121,0.0121,0.0242,,0.012099999999999937,0.5,0.024199999999999874,0.02434640999999993,,
Estructurado,CC CUPON ESCALONADO LXXI,CREDIFONDO SAF,13/08/2024,$,101.08,0.0095,,,,,,,,,,,134654894.7,511.0,0,Estructurado,40,0.0095,0.0095,0.019,,0.00950000000000003,0.5,0.01900000000000006,0.019090250000000086,,
Estructurado,CC CUPON ESCALONADO LXXII,CREDIFONDO SAF,13/08/2024,$,101.02,0.0091,,,,,,,,,,,36547357.86,175.0,0,Estructurado,41,0.0091,0.0091,0.0182,,0.009100000000000108,0.5,0.018200000000000216,0.018282810000000316,,
Estructurado,CC CUPON ESCALONADO LXXIII,CREDIFONDO SAF,13/08/2024,$,100.91,0.008,,,,,,,,,,,22987255.3,92.0,0,Estructurado,42,0.008,0.008,0.016,,0.007999999999999972,0.5,0.015999999999999945,0.016064000000000078,,
Estructurado,CC CUPON ESCALONADO LXXIV,CREDIFONDO SAF,29/08/2024,$,100.85,0.0071,,,,,,,,,,,189839345.96,649.0,0,Estructurado,43,0.0071,0.0071,0.0142,,0.007100000000000079,0.5,0.014200000000000159,0.014250410000000269,,
Estructurado,CC Cupon Escalonado LXXIX,CREDIFONDO SAF,10/03/2024,$,100.05,-0.0001,,,,,,,,,,,16398935.37,78.0,0,Estructurado,44,-0.0001,-0.0001,-0.0002,,-0.00010000000000005117,0.5,-0.00020000000000010233,-0.00019999000000014977,,
Estructurado,CC CUPON ESCALONADO LXXV,CREDIFONDO SAF,29/08/2024,$,100.76,0.0062,,,,,,,,,,,30744790.12,112.0,0,Estructurado,45,0.0062,0.0062,0.0124,,0.006200000000000046,0.5,0.012400000000000092,0.01243843999999994,,
Estructurado,CC CUPON ESCALONADO LXXVI,CREDIFONDO SAF,09/12/2024,$,100.47,0.0036,,,,,,,,,,,18908272.96,89.0,0,Estructurado,46,0.0036,0.0036,0.0072,,0.0035999999999999943,0.5,0.0071999999999999885,0.007212960000000157,,
Estructurado,CC CUPON ESCALONADO LXXVII,CREDIFONDO SAF,13/09/2024,$,100.61,0.0051,,,,,,,,,,,136102713.86,369.0,0,Estructurado,47,0.0051,0.0051,0.0102,,0.0051000000000000515,0.5,0.010200000000000103,0.01022601000000023,,
Estructurado,CC CUPON ESCALONADO LXXVIII,CREDIFONDO SAF,13/09/2024,$,100.58,0.0046,,,,,,,,,,,30597203.32,94.0,0,Estructurado,48,0.0046,0.0046,0.0092,,0.0045999999999999375,0.5,0.009199999999999875,0.00922115999999984,,
Estructurado,CC CUPON ESCALONADO LXXX,CREDIFONDO SAF,10/03/2024,$,100.45,0.0026,,,,,,,,,,,166170146.86,565.0,0,Estructurado,49,0.0026,0.0026,0.0052,,0.0025999999999999092,0.5,0.0051999999999998185,0.005206759999999866,,
Estructurado,CC CUPON ESCALONADO LXXXI,CREDIFONDO SAF,10/03/2024,$,100.26,0.001,,,,,,,,,,,19778018.54,88.0,0,Estructurado,50,0.001,0.001,0.002,,0.0009999999999999432,0.5,0.0019999999999998864,0.0020009999999996975,,
Estructurado,CC CUPON ESCALONADO XLIX,CREDIFONDO SAF,27/12/2023,$,104.37,0.0407,0.0006,,,,,,,,,,112926930.11,398.0,1,Estructurado,51,0.0407,0.0006,0.027533333333333337,0.021198650376327684,0.041324419999999834,1.5,0.027549613333333223,0.027363271214130958,0.34734622645380514,Low
Estructurado,CC CUPON ESCALONADO XLVI,CREDIFONDO SAF,16/11/2023,$,104.89,0.0402,0.0086,,,,,,,,,,157858318.33,522.0,1,Estructurado,52,0.0402,0.0086,0.03253333333333333,0.017770512404292428,0.049145720000000066,1.5,0.03276381333333338,0.03250114555095118,0.703476932265136,Low
Estructurado,IF 35 Custodia Dólares FMIV,INTERFONDO,27/11/2023,$,52.62,0.0419,0.0071,,,,,,,,,,71298721.09,394.0,1,Estructurado,53,0.0419,0.0071,0.03266666666666667,0.01922119778901524,0.04929749000000015,1.5,0.03286499333333343,0.03260071794145225,0.6555636167821685,Low
Estructurado,IF 36 Custodio Dólares FMIV,INTERFONDO,21/12/2023,$,52.35,0.0411,0.0028,,,,,,,,,,59596393.39,320.0,1,Estructurado,54,0.0411,0.0028,0.029266666666666663,0.020500149050948654,0.04401507999999978,1.5,0.029343386666666523,0.02913223398236009,0.4454715894827843,Low
Estructurado,IF 37 Custodia Dólares FMIV,INTERFONDO,23/01/2024,$,51.95,0.0353,,,,,,,,,,,49333870.54,382.0,0,Estructurado,55,0.0353,0.0353,0.0706,,0.035299999999999866,0.5,0.07059999999999973,0.07184608999999975,,
Estructurado,IF 38 Custodia Dólares FMIV,INTERFONDO,26/02/2024,$,51.57,0.0291,,,,,,,,,,,55203634.59,334.0,0,Estructurado,56,0.0291,0.0291,0.0582,,0.029099999999999966,0.5,0.05819999999999993,0.059046809999999894,,
Estructurado,IF 39 Custodia Dólares FMIV,INTERFONDO,27/06/2024,$,51.17,0.0207,,,,,,,,,,,71032090.37,418.0,0,Estructurado,57,0.0207,0.0207,0.0414,,0.02069999999999993,0.5,0.04139999999999986,0.041828489999999885,,
Estructurado,IF 41 Custodia Dólares FMIV,INTERFONDO,19/09/2024,$,50.34,0.0042,,,,,,,,,,,44686575.51,244.0,0,Estructurado,58,0.0042,0.0042,0.0084,,0.004200000000000017,0.5,0.008400000000000034,0.008417640000000004,,
Estructurado,Prudential Renta Segura $ I,PRUDENTIALSAF SAF,25/08/2024,$,10.2,0.0089,,,,,,,,,,,3517152.44,40.0,0,Estructurado,59,0.0089,0.0089,0.0178,,0.008899999999999863,0.5,0.017799999999999726,0.017879209999999812,,
Estructurado,SF Inversiones Smart $ I,SCOTIA FONDOS,06/06/2024,$,102.33,0.0197,,,,,,,,,,,92636183.15,300.0,0,Estructurado,60,0.0197,0.0197,0.0394,,0.01969999999999999,0.5,0.03939999999999998,0.039788090000000054,,
Estructurado,SF Inversiones Smart $ II,SCOTIA FONDOS,17/10/2024,$,100.59,0.0011,,,,,,,,,,,39344102.0,107.0,0,Estructurado,61,0.0011,0.0011,0.0022,,0.0011000000000001365,0.5,0.002200000000000273,0.0022012100000001755,,
Renta Mixta Crecimiento Soles,CRED. CRECIMIENTO VCS,CREDIFONDO SAF,19/06/2008,S/.,162.92,0.1157,0.1561,-0.007,0.0144,0.0319,0.039,-0.0641,0.1833,0.3873,-0.2569,-0.0369,28847087.22,556.0,16,Renta Mixta,62,0.3873,-0.2569,0.05359999999999999,0.15576418073485315,0.5316792381129537,10.5,0.0506361179155194,0.04144186278633577,0.13765592760273176,Medium High
Renta Mixta Balanceado Dólares,CRED. EQUILIBRADO,CREDIFONDO SAF,03/09/2007,$,145.95,0.0773,0.1281,-0.0036,-0.0317,-0.0131,0.0576,-0.0723,0.1401,0.2536,-0.2343,-0.0592,19625851.24,328.0,17,Renta Mixta,63,0.2536,-0.2343,0.023095238095238096,0.12399692436553805,0.16892848662827006,10.5,0.01608842729793048,0.014976517483767715,-0.04051296063943696,Medium
Renta Mixta Balanceado Dólares,IF MIXTO BALANCEADO,INTERFONDO,31/12/1995,$,68.7,0.0652,0.1257,-0.0022,-0.0388,-0.0322,0.0162,-0.0673,0.1365,0.2485,-0.2057,-0.0538,14597338.74,639.0,29,Renta Mixta,64,0.2485,-0.2057,0.018295238095238094,0.11663254365367307,0.12497627538405026,10.5,0.011902502417528596,0.011278552159384336,-0.07477713824464809,Medium
Renta Mixta Balanceado Dólares,SCOTIA FONDO MIXTO BALANCEADO,SCOTIA FONDOS,17/04/2007,$,10.97,0.0555,0.0994,0.0318,-0.0841,-0.0418,0.0268,-0.0685,0.0608,0.2688,-0.2327,-0.0668,4363668.35,208.0,17,Renta Mixta,65,0.2688,-0.2327,0.004685714285714288,0.12155972748792578,-0.03138977804423291,10.5,-0.0029895026708793245,-0.0030328198476194945,-0.18947738962237545,Medium
Renta Mixta Moderado Soles,CRED. MODERADO VCS,CREDIFONDO SAF,16/06/2008,S/.,159.31,0.0638,0.0881,-0.0002,-0.0247,0.0285,0.0395,-0.0157,0.0945,0.1572,-0.0874,0.0066,10077538.21,255.0,16,Renta Mixta,66,0.1572,-0.0874,0.03335238095238095,0.06414597475366249,0.381968070641322,10.5,0.036377911489649715,0.03128989593951004,0.17600318621497646,Medium Low
Renta Mixta Moderado Soles,IF INVERSION FLEXIBLE,INTERFONDO,30/10/2007,S/.,159.92,0.0796,0.0684,0.0086,0.0011,0.0125,0.0177,-0.0048,0.0933,0.1824,-0.0636,0.0278,20505413.42,408.0,17,Renta Mixta,67,0.1824,-0.0636,0.040285714285714286,0.061898400805379866,0.48590875544905004,10.5,0.04627702432848096,0.038437119849444645,0.2978610046391084,Medium Low
Renta Mixta Moderado Dólares,CRED. MODERADO,CREDIFONDO SAF,14/09/2002,$,57.21,0.0436,0.0766,-0.0166,-0.0229,0.0021,0.0526,-0.0509,0.0781,0.1267,-0.1292,-0.0304,28666640.58,409.0,22,Renta Mixta,68,0.1267,-0.1292,0.012352380952380951,0.06887007322624548,0.10846614133015307,10.5,0.010330108698109816,0.009855602549504017,-0.14729761382960294,Medium Low
Inst. Deuda Mediano Plazo S/,BBVA RENTA MED. PLAZO S/.,CONTINENTAL FM,17/10/1997,S/.,368.25,0.0498,0.1032,0.0056,-0.0486,0.0347,0.0627,0.0154,0.0667,0.0522,0.0084,0.0361,234067426.49,6566.0,27,Renta Fija,69,0.1032,-0.0486,0.036780952380952386,0.03803736849169288,0.45073011134307533,10.5,0.04292667727076908,0.03607024757010002,0.4224857871966001,Low
Inst. Deuda Mediano Plazo S/,CC CONSERV. MED. PLAZO S/.,CREDIFONDO SAF,03/09/2007,S/.,205.38,0.0616,0.0917,0.0023,-0.0343,0.0467,0.0619,0.0231,0.0662,0.0651,0.0262,0.0417,456511696.5,5262.0,17,Renta Fija,70,0.0917,-0.0343,0.04306666666666666,0.033615124061299635,0.5485735919888589,10.5,0.052245103998938947,0.04253044737618117,0.6702473367373344,Low
Inst. Deuda Mediano Plazo S/,IF MEDIANO PLAZO SOLES,INTERFONDO,14/03/2002,S/.,215.46,0.0542,0.0926,-0.0675,-0.0386,0.0283,0.0492,0.0187,0.0597,0.0465,0.0185,0.041,64528043.5,3450.0,22,Renta Fija,71,0.0926,-0.0675,0.028819047619047616,0.0432477481739703,0.3344291490950948,10.5,0.03185039515191379,0.027857494114892356,0.18168562403028368,Low
Inst. Deuda Mediano Plazo S/,SURA RENTA SOLES,FONDOS SURA SAF,19/05/2006,S/.,221.79,0.052,0.0786,0.0132,-0.0256,0.0494,0.0569,0.0361,0.0626,0.0566,-0.0016,0.0507,109091620.77,828.0,18,Renta Fija,72,0.0786,-0.0256,0.04084761904761905,0.029699755403654417,0.5161737251229142,10.5,0.049159402392658494,0.040433164699790636,0.6879910094234792,Low
Inst. Deuda Mediano Plazo $,BBVA RENTA MED. PLAZO $,CONTINENTAL FM,21/10/1997,$,205.85,0.0478,0.0607,-0.0366,-0.0268,0.0257,0.0565,-0.0039,0.0245,0.0072,-0.0074,0.0085,288569228.94,2312.0,27,Renta Fija,73,0.0607,-0.0366,0.014876190476190479,0.03083853782815055,0.16185078418782595,10.5,0.015414360398840567,0.014389618191413156,-0.18192762055876338,Low
Inst. Deuda Mediano Plazo $,CREDICORP CONSER. MED. PLA. $,CREDIFONDO SAF,26/03/1996,$,269.23,0.0537,0.0603,-0.036,-0.0063,0.0401,0.0629,-0.0058,0.0303,0.0177,0.0013,0.011,690801831.06,6141.0,28,Renta Fija,74,0.0629,-0.036,0.021828571428571426,0.030215490749971204,0.24858517343552022,10.5,0.023674778422430497,0.021369025696974076,0.045308736114947255,Low
Inst. Deuda Mediano Plazo $,IF MEDIANO PLAZO,INTERFONDO,09/01/1997,$,113.02,0.0329,0.0331,-0.0439,-0.0142,0.0309,0.044,-0.0026,0.0228,0.0146,-0.0033,0.0116,84657300.04,3915.0,27,Renta Fija,75,0.044,-0.0439,0.011990476190476192,0.024578584187451843,0.12963471274159147,10.5,0.012346163118246807,0.011676628361106056,-0.3386432503766142,Low
Inst. Deuda Corto Plazo S/,BBVA CASH SOLES,CONTINENTAL FM,12/02/2008,S/.,162.43,0.0476,0.0713,0.038,0.001,0.0091,0.0249,0.0199,0.0317,0.038,0.0324,0.0294,2627556697.17,73771.0,16,Renta Fija,76,0.0713,0.001,0.0326952380952381,0.018006322270895745,0.39989112620302847,10.5,0.03808486916219319,0.03255629590700937,0.6973270675769562,Low
Inst. Deuda Corto Plazo S/,BBVA RENTA CORTO PLAZO S/.,CONTINENTAL FM,27/12/2005,S/.,196.55,0.0496,0.0768,0.0272,-0.0195,0.0245,0.0378,0.0222,0.045,0.0443,0.0297,0.0326,407263099.55,5396.0,19,Renta Fija,77,0.0768,-0.0195,0.03525714285714286,0.02236494573598726,0.43551384432926254,10.5,0.04147750898373929,0.03503034903593072,0.6720494300929826,Low
Inst. Deuda Corto Plazo S/,BBVA TESORERIA SOLES FMIV,CONTINENTAL FM,10/03/2018,S/.,125.27,0.0487,0.0708,0.0344,0.0014,0.0138,0.032,0.0073,,,,,293390258.92,460.0,6,Renta Fija,78,0.0708,0.0014,0.03206153846153846,0.022896433000035306,0.2258760141216149,6.5,0.03475015601870998,0.03182764913547498,0.5165716919948509,Low
Inst. Deuda Corto Plazo S/,CRED. CONSER. CORTO PLAZO S/,CREDIFONDO SAF,02/10/2014,S/.,153.37,0.0537,0.0754,0.0329,-0.0076,0.0307,0.0377,0.0293,0.0457,0.0491,0.0479,0.0321,809653839.22,10978.0,10,Renta Fija,79,0.0754,-0.0076,0.04065714285714286,0.019599112565574763,0.5172031098936568,10.5,0.04925743903749112,0.04050041903893997,1.045987106321759,Low
Inst. Deuda Corto Plazo S/,CRED. CONSERVAD. LIQUIDEZ S/,CREDIFONDO SAF,04/06/2000,S/.,333.61,0.0478,0.0721,0.0457,0.002,0.0136,0.0302,0.0281,0.0388,0.0424,0.035,0.0334,2183626616.03,32793.0,24,Renta Fija,80,0.0721,0.002,0.03705714285714286,0.017513090253898293,0.4634812980108848,10.5,0.044141076001036644,0.03693410726415647,0.9669399870983393,Low
Inst. Deuda Corto Plazo S/,DIVISO CONSERVADOR SOLES,DIVISO FONDOS SAF S.A.,31/07/2013,S/.,149.14,-0.048,0.077,0.0495,0.0145,0.0217,0.04,0.0361,0.0543,0.0588,0.0383,0.0352,3773645.66,157.0,11,Renta Fija,81,0.077,-0.048,0.035942857142857144,0.030837654379731686,0.4420184228075016,10.5,0.042096992648333484,0.03547609454458445,0.5018570593603982,Low
Inst. Deuda Corto Plazo S/,SF Liquidez S/.,SCOTIA FONDOS,30/01/2023,S/.,11.27,0.0437,0.0635,,,,,,,,,,1177083339.99,15097.0,1,Renta Fija,82,0.0635,0.0437,0.07146666666666666,0.020426154258150937,0.10997495,1.5,0.07331663333333334,0.07203455721245433,2.5474475789631446,Low
Inst. Deuda Corto Plazo S/,SURA CORTO PLAZO SOLES,FONDOS SURA SAF,25/03/2009,S/.,188.65,0.0525,0.067,0.0394,-0.0067,0.0296,0.0429,0.0324,0.0505,0.0526,0.0362,0.0438,210884917.84,823.0,15,Renta Fija,83,0.067,-0.0067,0.041923809523809516,0.018036987125231354,0.5371957391798182,10.5,0.051161498969506496,0.04179850689774445,1.2085447944491365,Low
