Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N,Años,Categoria,Fund id
Renta Variable,IF ACCIONES,INTERFONDO,19/01/2007,S/.,109.5,0.0909,0.1398,-0.0743,0.075,0.0031,-0.0132,-0.0914,0.2204,0.4764,-0.3053,-0.075,10327463.73,1319.0,17,Renta Variable,11
Renta Variable,Promoinvest Fondo Selectivo,PROMOINVEST SAF,14/01/1999,$,3.25,0.0933,0.0595,-0.0381,0.03,-0.1799,-0.0352,-0.1698,0.2781,0.7177,-0.5004,-0.1759,4637106.61,451.0,25,Renta Variable,12
Renta Variable,SCOTIA FONDO ACCIONES,SCOTIA FONDOS,04/02/2008,S/.,11.16,0.1512,0.1729,-0.0373,-0.0551,0.0045,-0.0032,-0.1278,0.0711,0.4648,-0.348,-0.0725,3201976.0,182.0,16,Renta Variable,13
Renta Variable,SURA ACCIONES,FONDOS SURA SAF,22/01/2007,S/.,16.37,0.1317,0.202,-0.0726,0.0576,0.0648,0.0142,-0.0982,0.2643,0.5058,-0.3078,-0.0779,16872639.39,659.0,17,Renta Variable,14
Corto Plazo Soles,AC CASH PLUS S/,ANDEAN CROWN SAF S.A.C.,14/08/2024,S/.,0.0,,,,,,,,,,,,1075792.38,49.0,0,Renta Fija,15
Corto Plazo Soles,-AC CASH PLUS S/ SERIE A,ANDEAN CROWN SAF S.A.C.,14/08/2024,S/.,10.26,0.0132,,,,,,,,,,,,48.0,0,Renta Fija,16
Corto Plazo Soles,-AC CASH PLUS S/ SERIE B,ANDEAN CROWN SAF S.A.C.,14/08/2024,S/.,10.04,,,,,,,,,,,,,1.0,0,Renta Fija,17
Corto Plazo Soles,Prudential Corto Plazo S/.,PRUDENTIALSAF SAF,04/04/2024,S/.,0.0,,,,,,,,,,,,33605283.52,225.0,0,Renta Fija,18
Corto Plazo Soles,-Prudential Corto Plazo S/. SERIE A,PRUDENTIALSAF SAF,04/04/2024,S/.,10.66,0.0286,,,,,,,,,,,,219.0,0,Renta Fija,19
Corto Plazo Soles,-Prudential Corto Plazo S/. SERIE B,PRUDENTIALSAF SAF,04/04/2024,S/.,10.56,0.029,,,,,,,,,,,,6.0,0,Renta Fija,20
Corto Plazo Dólares,Andean Crown Cash Plus $,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,0.0,,,,,,,,,,,,1562237.72,56.0,0,Renta Fija,21
Corto Plazo Dólares,-Andean Crown Cash Plus $ SERIE A,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,10.33,0.0272,,,,,,,,,,,,54.0,0,Renta Fija,22
Corto Plazo Dólares,-Andean Crown Cash Plus $ SERIE B,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,10.34,0.0283,,,,,,,,,,,,2.0,0,Renta Fija,23
Corto Plazo Dólares,Prudential Corto Plazo $,PRUDENTIALSAF SAF,08/01/2024,$,0.0,,,,,,,,,,,,18381003.83,155.0,0,Renta Fija,24
Corto Plazo Dólares,-Prudential Corto Plazo $ SERIE A,PRUDENTIALSAF SAF,08/01/2024,$,10.57,0.0106,,,,,,,,,,,,154.0,0,Renta Fija,25
Corto Plazo Dólares,-Prudential Corto Plazo $ SERIE B,PRUDENTIALSAF SAF,08/01/2024,$,10.46,0.011,,,,,,,,,,,,1.0,0,Renta Fija,26
Estructurado,CC BARRERA CONDICIONAL XIII,CREDIFONDO SAF,15/06/2022,$,105.2,-0.0339,0.0037,0.0846,,,,,,,,,19165318.17,147.0,2,Estructurado,27
Estructurado,CC CUPON ESCALONADO LII,CREDIFONDO SAF,23/01/2024,$,106.7,0.0652,,,,,,,,,,,90001199.64,273.0,0,Estructurado,28
Estructurado,CC CUPON ESCALONADO LV,CREDIFONDO SAF,26/02/2024,$,103.28,0.0295,,,,,,,,,,,74583450.47,245.0,0,Estructurado,29
Estructurado,CC CUPON ESCALONADO LVIII,CREDIFONDO SAF,04/02/2024,$,103.01,0.0271,,,,,,,,,,,94597654.71,378.0,0,Estructurado,30
Estructurado,CC CUPON ESCALONADO LX,CREDIFONDO SAF,05/02/2024,$,102.53,0.0229,,,,,,,,,,,30513762.56,115.0,0,Estructurado,31
Estructurado,CC CUPON ESCALONADO LXI,CREDIFONDO SAF,05/02/2024,$,102.52,0.0222,,,,,,,,,,,65740102.58,206.0,0,Estructurado,32
Estructurado,CC CUPON ESCALONADO LXIII,CREDIFONDO SAF,13/06/2024,$,102.18,0.017,,,,,,,,,,,36554030.22,158.0,0,Estructurado,33
Estructurado,CC CUPON ESCALONADO LXIV,CREDIFONDO SAF,13/06/2024,$,102.46,0.0197,,,,,,,,,,,90052132.77,335.0,0,Estructurado,34
Estructurado,CC CUPON ESCALONADO LXIX,CREDIFONDO SAF,30/07/2024,$,101.2,0.011,,,,,,,,,,,41519925.31,175.0,0,Estructurado,35
Estructurado,CC CUPON ESCALONADO LXVI,CREDIFONDO SAF,16/07/2024,$,101.51,0.0129,,,,,,,,,,,51673280.89,154.0,0,Estructurado,36
Estructurado,CC CUPON ESCALONADO LXVII,CREDIFONDO SAF,16/07/2024,$,101.71,0.0147,,,,,,,,,,,70050885.42,274.0,0,Estructurado,37
Estructurado,CC CUPON ESCALONADO LXVIII,CREDIFONDO SAF,30/07/2024,$,101.28,0.0118,,,,,,,,,,,337320730.15,1086.0,0,Estructurado,38
Estructurado,CC CUPON ESCALONADO LXX,CREDIFONDO SAF,30/07/2024,$,101.32,0.0121,,,,,,,,,,,38127098.83,153.0,0,Estructurado,39
Estructurado,CC CUPON ESCALONADO LXXI,CREDIFONDO SAF,13/08/2024,$,101.08,0.0095,,,,,,,,,,,134654894.7,511.0,0,Estructurado,40
Estructurado,CC CUPON ESCALONADO LXXII,CREDIFONDO SAF,13/08/2024,$,101.02,0.0091,,,,,,,,,,,36547357.86,175.0,0,Estructurado,41
Estructurado,CC CUPON ESCALONADO LXXIII,CREDIFONDO SAF,13/08/2024,$,100.91,0.008,,,,,,,,,,,22987255.3,92.0,0,Estructurado,42
Estructurado,CC CUPON ESCALONADO LXXIV,CREDIFONDO SAF,29/08/2024,$,100.85,0.0071,,,,,,,,,,,189839345.96,649.0,0,Estructurado,43
Estructurado,CC Cupon Escalonado LXXIX,CREDIFONDO SAF,10/03/2024,$,100.05,-0.0001,,,,,,,,,,,16398935.37,78.0,0,Estructurado,44
Estructurado,CC CUPON ESCALONADO LXXV,CREDIFONDO SAF,29/08/2024,$,100.76,0.0062,,,,,,,,,,,30744790.12,112.0,0,Estructurado,45
Estructurado,CC CUPON ESCALONADO LXXVI,CREDIFONDO SAF,09/12/2024,$,100.47,0.0036,,,,,,,,,,,18908272.96,89.0,0,Estructurado,46
Estructurado,CC CUPON ESCALONADO LXXVII,CREDIFONDO SAF,13/09/2024,$,100.61,0.0051,,,,,,,,,,,136102713.86,369.0,0,Estructurado,47
Estructurado,CC CUPON ESCALONADO LXXVIII,CREDIFONDO SAF,13/09/2024,$,100.58,0.0046,,,,,,,,,,,30597203.32,94.0,0,Estructurado,48
Estructurado,CC CUPON ESCALONADO LXXX,CREDIFONDO SAF,10/03/2024,$,100.45,0.0026,,,,,,,,,,,166170146.86,565.0,0,Estructurado,49
Estructurado,CC CUPON ESCALONADO LXXXI,CREDIFONDO SAF,10/03/2024,$,100.26,0.001,,,,,,,,,,,19778018.54,88.0,0,Estructurado,50
Estructurado,CC CUPON ESCALONADO XLIX,CREDIFONDO SAF,27/12/2023,$,104.37,0.0407,0.0006,,,,,,,,,,112926930.11,398.0,1,Estructurado,51
Estructurado,CC CUPON ESCALONADO XLVI,CREDIFONDO SAF,16/11/2023,$,104.89,0.0402,0.0086,,,,,,,,,,157858318.33,522.0,1,Estructurado,52
Estructurado,IF 35 Custodia Dólares FMIV,INTERFONDO,27/11/2023,$,52.62,0.0419,0.0071,,,,,,,,,,71298721.09,394.0,1,Estructurado,53
Estructurado,IF 36 Custodio Dólares FMIV,INTERFONDO,21/12/2023,$,52.35,0.0411,0.0028,,,,,,,,,,59596393.39,320.0,1,Estructurado,54
Estructurado,IF 37 Custodia Dólares FMIV,INTERFONDO,23/01/2024,$,51.95,0.0353,,,,,,,,,,,49333870.54,382.0,0,Estructurado,55
Estructurado,IF 38 Custodia Dólares FMIV,INTERFONDO,26/02/2024,$,51.57,0.0291,,,,,,,,,,,55203634.59,334.0,0,Estructurado,56
Estructurado,IF 39 Custodia Dólares FMIV,INTERFONDO,27/06/2024,$,51.17,0.0207,,,,,,,,,,,71032090.37,418.0,0,Estructurado,57
Estructurado,IF 41 Custodia Dólares FMIV,INTERFONDO,19/09/2024,$,50.34,0.0042,,,,,,,,,,,44686575.51,244.0,0,Estructurado,58
Estructurado,Prudential Renta Segura $ I,PRUDENTIALSAF SAF,25/08/2024,$,10.2,0.0089,,,,,,,,,,,3517152.44,40.0,0,Estructurado,59
Estructurado,SF Inversiones Smart $ I,SCOTIA FONDOS,06/06/2024,$,102.33,0.0197,,,,,,,,,,,92636183.15,300.0,0,Estructurado,60
Estructurado,SF Inversiones Smart $ II,SCOTIA FONDOS,17/10/2024,$,100.59,0.0011,,,,,,,,,,,39344102.0,107.0,0,Estructurado,61
Renta Mixta Crecimiento Soles,CRED. CRECIMIENTO VCS,CREDIFONDO SAF,19/06/2008,S/.,162.92,0.1157,0.1561,-0.007,0.0144,0.0319,0.039,-0.0641,0.1833,0.3873,-0.2569,-0.0369,28847087.22,556.0,16,Renta Mixta,62
Renta Mixta Balanceado Dólares,CRED. EQUILIBRADO,CREDIFONDO SAF,03/09/2007,$,145.95,0.0773,0.1281,-0.0036,-0.0317,-0.0131,0.0576,-0.0723,0.1401,0.2536,-0.2343,-0.0592,19625851.24,328.0,17,Renta Mixta,63
Renta Mixta Balanceado Dólares,IF MIXTO BALANCEADO,INTERFONDO,31/12/1995,$,68.7,0.0652,0.1257,-0.0022,-0.0388,-0.0322,0.0162,-0.0673,0.1365,0.2485,-0.2057,-0.0538,14597338.74,639.0,29,Renta Mixta,64
Renta Mixta Balanceado Dólares,SCOTIA FONDO MIXTO BALANCEADO,SCOTIA FONDOS,17/04/2007,$,10.97,0.0555,0.0994,0.0318,-0.0841,-0.0418,0.0268,-0.0685,0.0608,0.2688,-0.2327,-0.0668,4363668.35,208.0,17,Renta Mixta,65
Renta Mixta Moderado Soles,CRED. MODERADO VCS,CREDIFONDO SAF,16/06/2008,S/.,159.31,0.0638,0.0881,-0.0002,-0.0247,0.0285,0.0395,-0.0157,0.0945,0.1572,-0.0874,0.0066,10077538.21,255.0,16,Renta Mixta,66
Renta Mixta Moderado Soles,IF INVERSION FLEXIBLE,INTERFONDO,30/10/2007,S/.,159.92,0.0796,0.0684,0.0086,0.0011,0.0125,0.0177,-0.0048,0.0933,0.1824,-0.0636,0.0278,20505413.42,408.0,17,Renta Mixta,67
Renta Mixta Moderado Dólares,CRED. MODERADO,CREDIFONDO SAF,14/09/2002,$,57.21,0.0436,0.0766,-0.0166,-0.0229,0.0021,0.0526,-0.0509,0.0781,0.1267,-0.1292,-0.0304,28666640.58,409.0,22,Renta Mixta,68
Inst. Deuda Mediano Plazo S/,BBVA RENTA MED. PLAZO S/.,CONTINENTAL FM,17/10/1997,S/.,368.25,0.0498,0.1032,0.0056,-0.0486,0.0347,0.0627,0.0154,0.0667,0.0522,0.0084,0.0361,234067426.49,6566.0,27,Renta Fija,69
Inst. Deuda Mediano Plazo S/,CC CONSERV. MED. PLAZO S/.,CREDIFONDO SAF,03/09/2007,S/.,205.38,0.0616,0.0917,0.0023,-0.0343,0.0467,0.0619,0.0231,0.0662,0.0651,0.0262,0.0417,456511696.5,5262.0,17,Renta Fija,70
Inst. Deuda Mediano Plazo S/,IF MEDIANO PLAZO SOLES,INTERFONDO,14/03/2002,S/.,215.46,0.0542,0.0926,-0.0675,-0.0386,0.0283,0.0492,0.0187,0.0597,0.0465,0.0185,0.041,64528043.5,3450.0,22,Renta Fija,71
Inst. Deuda Mediano Plazo S/,SURA RENTA SOLES,FONDOS SURA SAF,19/05/2006,S/.,221.79,0.052,0.0786,0.0132,-0.0256,0.0494,0.0569,0.0361,0.0626,0.0566,-0.0016,0.0507,109091620.77,828.0,18,Renta Fija,72
Inst. Deuda Mediano Plazo $,BBVA RENTA MED. PLAZO $,CONTINENTAL FM,21/10/1997,$,205.85,0.0478,0.0607,-0.0366,-0.0268,0.0257,0.0565,-0.0039,0.0245,0.0072,-0.0074,0.0085,288569228.94,2312.0,27,Renta Fija,73
Inst. Deuda Mediano Plazo $,CREDICORP CONSER. MED. PLA. $,CREDIFONDO SAF,26/03/1996,$,269.23,0.0537,0.0603,-0.036,-0.0063,0.0401,0.0629,-0.0058,0.0303,0.0177,0.0013,0.011,690801831.06,6141.0,28,Renta Fija,74
Inst. Deuda Mediano Plazo $,IF MEDIANO PLAZO,INTERFONDO,09/01/1997,$,113.02,0.0329,0.0331,-0.0439,-0.0142,0.0309,0.044,-0.0026,0.0228,0.0146,-0.0033,0.0116,84657300.04,3915.0,27,Renta Fija,75
Inst. Deuda Corto Plazo S/,BBVA CASH SOLES,CONTINENTAL FM,12/02/2008,S/.,162.43,0.0476,0.0713,0.038,0.001,0.0091,0.0249,0.0199,0.0317,0.038,0.0324,0.0294,2627556697.17,73771.0,16,Renta Fija,76
Inst. Deuda Corto Plazo S/,BBVA RENTA CORTO PLAZO S/.,CONTINENTAL FM,27/12/2005,S/.,196.55,0.0496,0.0768,0.0272,-0.0195,0.0245,0.0378,0.0222,0.045,0.0443,0.0297,0.0326,407263099.55,5396.0,19,Renta Fija,77
Inst. Deuda Corto Plazo S/,BBVA TESORERIA SOLES FMIV,CONTINENTAL FM,10/03/2018,S/.,125.27,0.0487,0.0708,0.0344,0.0014,0.0138,0.032,0.0073,,,,,293390258.92,460.0,6,Renta Fija,78
Inst. Deuda Corto Plazo S/,CRED. CONSER. CORTO PLAZO S/,CREDIFONDO SAF,02/10/2014,S/.,153.37,0.0537,0.0754,0.0329,-0.0076,0.0307,0.0377,0.0293,0.0457,0.0491,0.0479,0.0321,809653839.22,10978.0,10,Renta Fija,79
Inst. Deuda Corto Plazo S/,CRED. CONSERVAD. LIQUIDEZ S/,CREDIFONDO SAF,04/06/2000,S/.,333.61,0.0478,0.0721,0.0457,0.002,0.0136,0.0302,0.0281,0.0388,0.0424,0.035,0.0334,2183626616.03,32793.0,24,Renta Fija,80
Inst. Deuda Corto Plazo S/,DIVISO CONSERVADOR SOLES,DIVISO FONDOS SAF S.A.,31/07/2013,S/.,149.14,-0.048,0.077,0.0495,0.0145,0.0217,0.04,0.0361,0.0543,0.0588,0.0383,0.0352,3773645.66,157.0,11,Renta Fija,81
Inst. Deuda Corto Plazo S/,SF Liquidez S/.,SCOTIA FONDOS,30/01/2023,S/.,11.27,0.0437,0.0635,,,,,,,,,,1177083339.99,15097.0,1,Renta Fija,82
Inst. Deuda Corto Plazo S/,SURA CORTO PLAZO SOLES,FONDOS SURA SAF,25/03/2009,S/.,188.65,0.0525,0.067,0.0394,-0.0067,0.0296,0.0429,0.0324,0.0505,0.0526,0.0362,0.0438,210884917.84,823.0,15,Renta Fija,83
Inst. Deuda Corto Plazo S/,SURA ULTRA CASH SOLES,FONDOS SURA SAF,05/09/2012,S/.,162.23,0.0487,0.0732,0.0462,0.0052,0.0156,0.0334,0.0303,0.0423,0.048,0.0419,0.0375,1695450597.76,2689.0,12,Renta Fija,84
Inst. Deuda Corto Plazo $,BBVA CASH DOLARES,CONTINENTAL FM,12/02/2008,$,121.61,0.0412,0.0442,0.0122,0.001,0.0071,0.0188,0.0149,0.0082,0.0035,0.0013,0.0009,3066297763.93,20795.0,16,Renta Fija,85
Inst. Deuda Corto Plazo $,BBVA RENTA CORTO PLAZO $,CONTINENTAL FM,16/06/2000,$,178.46,0.046,0.0465,0.0036,0.0021,0.0118,0.0238,0.0173,0.0123,0.0084,-0.0056,0.0012,884648596.87,3146.0,24,Renta Fija,86
Inst. Deuda Corto Plazo $,CRED. CONSER. CORTO PLAZO $,CREDIFONDO SAF,18/02/2014,$,124.86,0.0466,0.0516,0.0145,0.0034,0.0241,0.0297,0.0166,0.0135,0.0114,0.0075,0.0038,1585227263.42,5724.0,10,Renta Fija,87
Inst. Deuda Corto Plazo $,CRED. CONSERVADOR LIQUIDEZ $,CREDIFONDO SAF,05/06/1999,$,187.6,0.0424,0.0483,0.0158,0.0028,0.0099,0.0219,0.0164,0.0088,0.0059,0.0043,0.0025,3562317607.6,15706.0,25,Renta Fija,88
Inst. Deuda Corto Plazo $,DIVISO CONSERVADOR DOLARES,DIVISO FONDOS SAF S.A.,19/03/2015,$,113.47,-0.0797,0.0536,0.0088,0.0293,0.0262,0.034,0.0222,0.0191,0.0264,-0.0098,,1890862.84,62.0,9,Renta Fija,89
Inst. Deuda Corto Plazo $,FARO CORTO PLAZO DOLARES,FARO CAPITAL SAFI,08/09/2022,$,0.0,,,,,,,,,,,,7669415.66,25.0,2,Renta Fija,90
Inst. Deuda Corto Plazo $,-FARO CORTO PLAZO DOLARES SERIE A,FARO CAPITAL SAFI,08/09/2022,$,106.0,0.0405,0.0089,0.0094,,,,,,,,,,1.0,2,Renta Fija,91
Inst. Deuda Corto Plazo $,-FARO CORTO PLAZO DOLARES SERIE B,FARO CAPITAL SAFI,08/09/2022,$,109.81,0.0396,0.0448,0.0092,,,,,,,,,,24.0,2,Renta Fija,92
Inst. Deuda Corto Plazo $,SF LIQUIDEZ $,SCOTIA FONDOS,31/01/2023,$,10.88,0.0395,0.0422,,,,,,,,,,2910674084.43,11569.0,1,Renta Fija,93
Inst. Deuda Corto Plazo $,SURA CORTO PLAZO DOLARES,FONDOS SURA SAF,31/08/2009,$,136.83,0.042,0.0482,0.0138,0.0065,0.0173,0.0311,0.0216,0.0165,0.0124,0.0052,0.0057,232476023.76,821.0,15,Renta Fija,94
Inst. Deuda Corto Plazo $,SURA ULTRA CASH DOLARES,FONDOS SURA SAF,19/07/2012,$,123.32,0.0418,0.0479,0.0149,0.0041,0.0116,0.025,0.0198,0.0117,0.0069,0.0031,0.0014,1240348954.53,2352.0,12,Renta Fija,95
Flexible,BLUM BONOS GLOBALES FM,BLUM SAF,25/03/2024,$,10.51,0.0497,,,,,,,,,,,78598682.24,18.0,0,Flexible,96
Flexible,Blum Capital Global FM,BLUM SAF,23/09/2022,$,0.0,,,,,,,,,,,,4740247.21,784.0,2,Flexible,97
Flexible,-Blum Capital Global FM SERIE A,BLUM SAF,23/09/2022,$,13.12,0.1005,0.1345,0.0489,,,,,,,,,,3.0,2,Flexible,98
Flexible,-Blum Capital Global FM SERIE B,BLUM SAF,23/09/2022,$,13.07,0.0987,0.1325,0.0484,,,,,,,,,,781.0,2,Flexible,99
Flexible,-Blum Capital Global FM SERIE I,BLUM SAF,23/09/2022,$,13.32,,0.1368,0.0494,,,,,,,,,,1.0,2,Flexible,100
Flexible,Blum Cash FM,BLUM SAF,08/11/2022,$,11.02,0.0436,0.0459,0.0092,,,,,,,,,22521252.38,278.0,2,Flexible,101
Flexible,Blum Cash S/ FM,BLUM SAF,12/12/2023,S/.,11.09,0.0431,0.0039,,,,,,,,,,3763664.85,2299.0,1,Flexible,102
Flexible,BLUM MONEY MARKET $ FM,BLUM SAF,14/02/2023,$,10.91,0.0447,0.0441,,,,,,,,,,13270897.6,11.0,1,Flexible,103
Flexible,Blum Renta Global FM,BLUM SAF,16/03/2022,$,0.0,,,,,,,,,,,,5389727.64,332.0,2,Flexible,104
Flexible,-Blum Renta Global FM SERIE A,BLUM SAF,16/03/2022,$,10.67,0.0649,0.0622,-0.0571,,,,,,,,,,8.0,2,Flexible,105
Flexible,-Blum Renta Global FM SERIE B,BLUM SAF,16/03/2022,$,10.62,0.0622,0.0606,-0.0584,,,,,,,,,,324.0,2,Flexible,106
Flexible,-Blum Renta Global FM SERIE I,BLUM SAF,16/03/2022,$,10.12,,0.0641,-0.0557,,,,,,,,,,1.0,2,Flexible,107
Flexible,CC DEUDA CORPORATIVA SOLES,CREDIFONDO SAF,31/07/2019,S/.,120.81,0.0874,0.1362,-0.0539,-0.0377,0.0561,0.0148,,,,,,71150763.11,609.0,5,Flexible,108
Flexible,CC FACTORING $,CREDIFONDO SAF,20/06/2023,$,110.12,0.0606,0.0382,,,,,,,,,,382389334.09,956.0,1,Flexible,109
Flexible,CC RENTA OPERATIVA I (FI),CREDIFONDO SAF,28/06/2019,$,134.21,0.0531,0.0676,0.0549,0.0488,0.048,0.0259,,,,,,130831524.9,534.0,5,Flexible,110
Flexible,CORIL CASH CONSERVADOR S/,CORIL SAF,08/10/2022,S/.,1144.61,0.0516,0.0625,0.0236,,,,,,,,,5448111.12,21.0,2,Flexible,111
Flexible,CRED CAP FACTORING S/,CREDIFONDO SAF,12/07/2020,S/.,129.26,0.0656,0.0829,0.0673,0.0418,0.0048,,,,,,,80110588.11,321.0,4,Flexible,112
Flexible,FARO DEUDA GLOBAL,FARO CAPITAL SAFI,29/05/2018,$,0.0,,,,,,,,,,,,65077346.68,46.0,6,Flexible,113
Flexible,-FARO DEUDA GLOBAL SERIE A,FARO CAPITAL SAFI,29/05/2018,$,105.48,0.0265,0.0447,-0.1174,-0.0194,0.0617,0.0656,0.0039,,,,,,4.0,6,Flexible,114
Flexible,-FARO DEUDA GLOBAL SERIE B,FARO CAPITAL SAFI,29/05/2018,$,104.52,0.0255,0.0435,-0.1184,-0.0205,0.0604,0.0635,0.0025,,,,,,8.0,6,Flexible,115
Flexible,-FARO DEUDA GLOBAL SERIE C,FARO CAPITAL SAFI,29/05/2018,$,103.28,0.0245,0.0423,-0.1194,-0.0217,0.0592,0.0597,-0.0003,,,,,,34.0,6,Flexible,116
Flexible,IF Futuro Seguro $,INTERFONDO,27/12/2021,$,49.99,0.0727,0.0832,-0.1385,-0.0003,,,,,,,,9523113.58,158.0,3,Flexible,117
Flexible,IF Futuro Seguro S/,INTERFONDO,27/12/2021,S/.,104.05,0.0718,0.1038,-0.1201,-0.0005,,,,,,,,8609830.07,219.0,3,Flexible,118
Flexible,IF INVERSION GLOBAL,INTERFONDO,26/01/2015,$,70.16,0.1134,0.1405,-0.2028,0.1175,0.1496,0.1565,-0.088,0.0699,-0.0209,-0.0282,,27918189.84,663.0,9,Flexible,119
Flexible,IF OPORTUNIDAD,INTERFONDO,12/06/2013,$,0.0,,,,,0.0205,0.0269,0.01,0.0141,0.0071,0.0061,0.0024,387666861.53,4227.0,11,Flexible,120
Flexible,-IF OPORTUNIDAD SERIE A,INTERFONDO,12/06/2013,$,59.52,0.0359,0.0336,0.0144,,,,,,,,,,3981.0,11,Flexible,121
Flexible,-IF OPORTUNIDAD SERIE B,INTERFONDO,12/06/2013,$,59.92,0.0375,0.0354,0.0162,,,,,,,,,,92.0,11,Flexible,122
Flexible,-IF OPORTUNIDAD SERIE C,INTERFONDO,12/06/2013,$,59.53,,,,,,,,,,,,,154.0,11,Flexible,123
Flexible,IF OPORTUNIDAD SOLES,INTERFONDO,16/11/2012,S/.,0.0,,,,,,0.0352,0.0219,0.0427,0.0404,0.0388,0.0329,676121701.96,8919.0,12,Flexible,124
Flexible,-IF OPORTUNIDAD SOLES SERIE A,INTERFONDO,16/11/2012,S/.,147.16,0.0477,0.078,0.0026,-0.0101,,,,,,,,,8305.0,12,Flexible,125
Flexible,-IF OPORTUNIDAD SOLES SERIE B,INTERFONDO,16/11/2012,S/.,147.88,0.0488,0.0792,0.0038,-0.0089,,,,,,,,,41.0,12,Flexible,126
Flexible,-IF OPORTUNIDAD SOLES SERIE C,INTERFONDO,16/11/2012,S/.,147.21,,,,,,,,,,,,,573.0,12,Flexible,127
Flexible,IF Portafolio Dinámico,INTERFONDO,28/12/2017,$,72.57,0.0352,0.0504,0.0282,0.0217,0.0592,0.0688,0.1158,0.0007,,,,82389288.69,489.0,7,Flexible,128
Flexible,IF Portafolio Dinamico Soles,INTERFONDO,05/05/2021,S/.,0.0,,,0.1022,0.0998,,,,,,,,460151312.16,3544.0,3,Flexible,129
Flexible,-IF Portafolio Dinamico Soles SERIE A,INTERFONDO,05/05/2021,S/.,135.99,0.0447,,,,,,,,,,,,3479.0,3,Flexible,130
Flexible,-IF Portafolio Dinamico Soles SERIE B,INTERFONDO,05/05/2021,S/.,136.61,0.0489,,,,,,,,,,,,65.0,3,Flexible,131
Flexible,INDEPENDIENTE PMG,INDEPENDIENTE SAF,31/12/2020,$,112.21,0.0878,0.0829,-0.0881,0.0472,-0.0028,,,,,,,61271574.54,1325.0,4,Flexible,132
Flexible,SCOTIA DEPÓSITO DISPONIBLE S/.,SCOTIA FONDOS,16/08/2011,S/.,12.48,0.0524,-0.1296,0.0109,0.0089,0.0196,0.0294,0.0268,0.0382,0.042,0.0337,0.0304,51066006.71,7899.0,13,Flexible,133
Flexible,SCOTIA FONDO CASH $,SCOTIA FONDOS,03/07/2001,$,16.42,0.0402,-0.031,-0.0186,0.0094,0.0135,0.0289,0.0157,0.0146,0.0099,0.0048,0.0026,58972560.35,1927.0,23,Flexible,134
