bond_key,emisor,apoyo,moodys_local_peru,jcr_latino_america,pcr,class
100 ,Electro Dunas S.A.A.,AAA,,,,AAA
101 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
102 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
103 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
104 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
105 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
106 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
107 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
108 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
109 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
110 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
111 ,Enel Distribución Perú S.A.A.,,ML-2+,,pAAA,AAA
112 ,Enel Distribución Perú S.A.A.,,,,pAAA,AAA
113 ,Enel Distribución Perú S.A.A.,,,,AAA,AAA
114 ,Engie Energía Perú S.A (antes Enersur S.A),AAA,AAA,,,
115 ,Engie Energía Perú S.A (antes Enersur S.A),AAA,AAA,,,
116 ,Engie Energía Perú S.A (antes Enersur S.A),AAA,AAA,,,
117 ,Engie Energía Perú S.A (antes Enersur S.A),AAA,AAA,,,
118 ,Engie Energía Perú S.A (antes Enersur S.A),AAA,AAA,,,
119 ,EuroCapital Servicios Financieros S.A.C.,CP-2,,,,
120 ,Inverfal S.A.A.,,AA+,,,AA+
121 ,Inverfal S.A.A.,,AA+,,,AA+
122 ,Inverfal S.A.A.,,AA,,,AA
123 ,Financiera Confianza S.A.A.,CP-1,ML-1,,,
124 ,Financiera Confianza S.A.A.,CP-1,ML-1,,,
125 ,Financiera Confianza S.A.A.,CP-1,ML-1,,,
126 ,Financiera Confianza S.A.A.,CP-1,ML-1,,,CLA-1
127 ,Financiera Efectiva S.A.,,ML-1,P1-,p1,
128 ,Financiera Efectiva S.A.,,ML-1,P1-,p1,
129 ,Financiera OH! S.A.,AA-,,,,
130 ,Finanty S.A.,,,,,
131 ,Fondo Mivivienda S.A.,AAA,AAA,,,AAA
132 ,Fondo Mivivienda S.A.,AAA,AAA,,,AAA
133 ,Fondo Mivivienda S.A.,AAA,AAA,,,AAA
134 ,Fondo Mivivienda S.A.,AAA,AAA,,,
135 ,Gas Natural de Lima y Callao S.A.,,AAA,,,AAA
136 ,Gas Natural de Lima y Callao S.A.,,AAA,,,AAA
137 ,Leche Gloria S.A.,AAA,,,,AAA
138 ,H2olmos S.A.,AA,AA-,,,AA+
139 ,Hermes Transportes Blindados S.A.,,,,,AA
140 ,Hermes Transportes Blindados S.A.,,,,,AA
141 ,Banco Internacional del Perú - Interbank,AAA,AAA,,,AA+
142 ,Banco Internacional del Perú - Interbank,CP-1+,ML-1,,,
143 ,Banco Internacional del Perú - Interbank,CP-1+,ML-1,,,
144 ,Interseguro Compañía de Seguros S.A.,,AA,,,
145 ,Interseguro Compañía de Seguros S.A.,,AA,,,AA
146 ,Interseguro Compañía de Seguros S.A.,,AA,,,AA
147 ,Incimmet S.A.,,ML-2,,,
148 ,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),,,,pAA,AA-
149 ,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),,,,pAA,AA-
150 ,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),,AA-,,pAA,
151 ,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),,,,pAA-,A+
152 ,Los Portales S.A.,CP-1-,,,p2+,
153 ,Los Portales S.A.,CP-1-,,,p2+,
154 ,Los Portales S.A.,CP-1-,,,p2+,
155 ,Los Portales S.A.,CP-1-,,,p1-,
156 ,Luz del Sur S.A.A.,,,,pAAA,AAA
157 ,Luz del Sur S.A.A.,,,,pAAA,AAA
158 ,Luz del Sur S.A.A.,,,,pAAA,AAA
159 ,Luz del Sur S.A.A.,,,,pAAA,AAA
160 ,Luz del Sur S.A.A.,,,,pAAA,
161 ,Luz del Sur S.A.A.,,,,pAAA,
162 ,Luz del Sur S.A.A.,,,,PAAA,
163 ,Luz del Sur S.A.A.,,,,pAAA,
164 ,Luz del Sur S.A.A.,,,,pAAA,
165 ,Luz del Sur S.A.A.,,ML-1,,p1+,
166 ,Luz del Sur S.A.A.,,ML-1,,p1+,
167 ,Luz del Sur S.A.A.,,ML-1,,p1+,
168 ,Mibanco Banco de la Microempresa S.A.,AA,AA,,,
169 ,Mibanco Banco de la Microempresa S.A.,AA,AA,,,
170 ,Mibanco Banco de la Microempresa S.A.,CP-1+,ML-1,,,
171 ,Mibanco Banco de la Microempresa S.A.,CP-1+,ML-1,,,
172 ,Red Vial 5 S.A. (Antes Norvial S.A.),AA,AA,,,
173 ,Pacífico S.A. Entidad Prestadora de Salud,,,,,AA+
174 ,Softys Perú S.A.C.,AA,AA,,,
175 ,Red de Energía del Perú S.A.,AAA,AAA,,,
176 ,Red de Energía del Perú S.A.,AAA,AAA,,,
177 ,Scotiabank Perú S.A.,BBB+,,,,
178 ,Telefónica del Peru S.A.A.,AAA,,,,AAA
179 ,Telefónica del Peru S.A.A.,AAA,,,,AAA
180 ,Telefónica del Peru S.A.A.,AAA,,,,AAA
181 ,Telefónica del Peru S.A.A.,AAA,,,,AAA
182 ,Telefónica del Peru S.A.A.,AAA,,,,AAA
183 ,Telefónica del Peru S.A.A.,AAA,,,,AAA
184 ,Telefónica del Peru S.A.A.,AAA,,,,AAA
185 ,Yura S.A.,,AAA,,,AAA
186 ,Yura S.A.,,AAA,,,AAA
187 ,Yura S.A.,,AAA,,,
