Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Standard Dev,Return Lowest,Return Highest,Avg Return Arithmetic,Patrimonio S/.,Partícipes N,Años,Categoria,Total Cumulative Return,Cumulative Return Period,Annualized Cumulative Return,CAGR,Sharpe Ratio,Risk
Renta Variable,IF ACCIONES,INTERFONDO,19/01/2007,S/.,108.08,0.0767,0.1398,-0.0743,0.075,0.0031,-0.0132,-0.0914,0.2204,0.4764,-0.3053,-0.075,0.2006227577,-0.3053,0.4764,0.0393,11369090.21,1260,17,Renta Variable,0.27172574848373343,10.5,0.025878642712736516,0.02315689365451723,0.01573547134287662,High
Renta Variable,Promoinvest Fondo Selectivo,PROMOINVEST SAF,14/01/1999,$,3.19,0.0714,0.0595,-0.0381,0.03,-0.1799,-0.0352,-0.1698,0.2781,0.7177,-0.5004,-0.1759,0.307717282,-0.5004,0.7177,0.0052,5020514.18,465,25,Renta Variable,-0.3322389512091455,10.5,-0.031641804877061475,-0.037729336076909537,-0.18760511499938942,High
Renta Variable,SCOTIA FONDO ACCIONES,SCOTIA FONDOS,04/02/2008,S/.,10.89,0.1232,0.1729,-0.0373,-0.0551,0.0045,-0.0032,-0.1278,0.0711,0.4648,-0.348,-0.0725,0.2024711162,-0.348,0.4648,0.0175,3608854.69,206,16,Renta Variable,-0.007023845872928973,10.5,-0.0006689377021837117,-0.0006710727485650381,-0.10209393387324567,High
Renta Variable,SURA ACCIONES,FONDOS SURA SAF,22/01/2007,S/.,15.86,0.0959,0.202,-0.0726,0.0576,0.0648,0.0142,-0.0982,0.2643,0.5058,-0.3078,-0.0779,0.2146964733,-0.3078,0.5058,0.0589,16161926.13,670,17,Renta Variable,0.5289484946338735,10.5,0.05037604710798795,0.04126488883965962,0.09904628852447768,High
Corto Plazo Soles,Prudential Corto Plazo S/.,PRUDENTIALSAF SAF,04/04/2024,S/.,0.0,,,,,,,,,,,,,0.0,0.0,,15373472.67,106,0,Renta Fija,,,,,,
Corto Plazo Soles,-Prudential Corto Plazo S/. SERIE A,PRUDENTIALSAF SAF,04/04/2024,S/.,10.49,0.0125,,,,,,,,,,,,0.0125,0.0125,0.0125,,102,0,Renta Fija,0.0125,0.5,0.025,0.02515624999999999,,
Corto Plazo Soles,-Prudential Corto Plazo S/. SERIE B,PRUDENTIALSAF SAF,04/04/2024,S/.,10.39,0.0125,,,,,,,,,,,,0.0125,0.0125,0.0125,,4,0,Renta Fija,0.0125,0.5,0.025,0.02515624999999999,,
Corto Plazo Dólares,Andean Crown Cash Plus $,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,0.0,,,,,,,,,,,,,0.0,0.0,,1161741.93,37,0,Renta Fija,,,,,,
Corto Plazo Dólares,-Andean Crown Cash Plus $ SERIE A,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,10.15,0.0097,,,,,,,,,,,,0.0097,0.0097,0.0097,,35,0,Renta Fija,0.009699999999999988,0.5,0.019399999999999976,0.01949409000000002,,
Corto Plazo Dólares,-Andean Crown Cash Plus $ SERIE B,ANDEAN CROWN SAF S.A.C.,04/12/2024,$,10.16,0.0104,,,,,,,,,,,,0.0104,0.0104,0.0104,,2,0,Renta Fija,0.01039999999999992,0.5,0.02079999999999984,0.020908159999999842,,
Estructurado,BTG Rendimiento $ 1 FMIV,BTG PACTUAL PERU SAF,28/12/2023,$,104.58,0.0277,-0.0019,,,,,,,,,,0.0209303607,-0.0019,0.0277,0.0129,1820826.31,17,1,Estructurado,0.02574737000000013,1.5,0.01716491333333342,0.017092085219769126,-0.13893285557333343,Low
Estructurado,CC BARRERA CONDICIONAL XIII,CREDIFONDO SAF,15/06/2022,$,107.27,-0.0149,0.0037,0.0846,,,,,,,,,0.0529008822,-0.0149,0.0846,0.0245,19894485.92,147,2,Estructurado,0.07239268600200006,2.5,0.028957074400800024,0.028351385027387765,0.15786853980646404,Medium Low
Estructurado,CC CUPON ESCALONADO LI,CREDIFONDO SAF,23/01/2024,$,102.18,0.02,,,,,,,,,,,,0.02,0.02,0.02,55661076.93,214,0,Estructurado,0.02,0.5,0.04,0.04039999999999999,,
Estructurado,CC CUPON ESCALONADO LII,CREDIFONDO SAF,23/01/2024,$,103.64,0.0346,,,,,,,,,,,,0.0346,0.0346,0.0346,88997312.26,273,0,Estructurado,0.034599999999999936,0.5,0.06919999999999987,0.07039715999999996,,
Estructurado,CC CUPON ESCALONADO LIII,CREDIFONDO SAF,26/02/2024,$,101.55,-1.0,,,,,,,,,,,,-1.0,-1.0,-1.0,1.08,1,0,Estructurado,-1.0,0.5,-2.0,-1.0,,
Estructurado,CC CUPON ESCALONADO LIV,CREDIFONDO SAF,26/02/2024,$,101.85,0.0153,,,,,,,,,,,,0.0153,0.0153,0.0153,61849690.55,189,0,Estructurado,0.015300000000000154,0.5,0.030600000000000308,0.030834090000000147,,
Estructurado,CC CUPON ESCALONADO LIX,CREDIFONDO SAF,05/02/2024,$,100.98,0.0073,,,,,,,,,,,,0.0073,0.0073,0.0073,135212406.6,364,0,Estructurado,0.00730000000000004,0.5,0.01460000000000008,0.014653290000000263,,
Estructurado,CC CUPON ESCALONADO LV,CREDIFONDO SAF,26/02/2024,$,101.63,0.0132,,,,,,,,,,,,0.0132,0.0132,0.0132,74719464.96,245,0,Estructurado,0.013200000000000075,0.5,0.02640000000000015,0.026574240000000193,,
Estructurado,CC CUPON ESCALONADO LVI,CREDIFONDO SAF,04/02/2024,$,101.45,0.0112,,,,,,,,,,,,0.0112,0.0112,0.0112,355881284.3,1130,0,Estructurado,0.011200000000000045,0.5,0.02240000000000009,0.02252544000000012,,
Estructurado,CC CUPON ESCALONADO LVII,CREDIFONDO SAF,04/02/2024,$,101.36,0.0104,,,,,,,,,,,,0.0104,0.0104,0.0104,66742367.48,224,0,Estructurado,0.01039999999999992,0.5,0.02079999999999984,0.020908159999999842,,
Estructurado,CC CUPON ESCALONADO LVIII,CREDIFONDO SAF,04/02/2024,$,102.01,0.0171,,,,,,,,,,,,0.0171,0.0171,0.0171,95406275.13,379,0,Estructurado,0.017099999999999938,0.5,0.034199999999999876,0.034492409999999696,,
Estructurado,CC CUPON ESCALONADO LX,CREDIFONDO SAF,05/02/2024,$,100.96,0.0072,,,,,,,,,,,,0.0072,0.0072,0.0072,30587685.33,115,0,Estructurado,0.007200000000000131,0.5,0.014400000000000262,0.014451840000000216,,
Estructurado,CC CUPON ESCALONADO LXI,CREDIFONDO SAF,05/02/2024,$,101.29,0.01,,,,,,,,,,,,0.01,0.01,0.01,66128304.0,207,0,Estructurado,0.01,0.5,0.02,0.020100000000000007,,
Estructurado,CC CUPON ESCALONADO LXII,CREDIFONDO SAF,13/06/2024,$,100.66,0.0019,,,,,,,,,,,,0.0019,0.0019,0.0019,129796442.5,390,0,Estructurado,0.0018999999999999772,0.5,0.0037999999999999545,0.0038036100000000683,,
Estructurado,CC CUPON ESCALONADO LXIII,CREDIFONDO SAF,13/06/2024,$,100.65,0.0017,,,,,,,,,,,,0.0017,0.0017,0.0017,37038407.09,158,0,Estructurado,0.001700000000000017,0.5,0.003400000000000034,0.0034028900000000473,,
Estructurado,CC CUPON ESCALONADO LXIV,CREDIFONDO SAF,13/06/2024,$,100.7,0.0022,,,,,,,,,,,,0.0022,0.0022,0.0022,90101704.17,335,0,Estructurado,0.0021999999999999884,0.5,0.004399999999999977,0.004404839999999854,,
Estructurado,CC CUPON ESCALONADO XL,CREDIFONDO SAF,09/07/2023,$,103.84,0.0228,0.0153,,,,,,,,,,0.0053033009,0.0153,0.0228,0.0191,59736699.42,226,1,Estructurado,0.038448840000000074,1.5,0.02563256000000005,0.02547104846840309,1.0316307845936272,Low
Estructurado,CC CUPON ESCALONADO XLIII,CREDIFONDO SAF,10/06/2023,$,103.89,0.0203,0.0163,,,,,,,,,,0.0028284271,0.0163,0.0203,0.0183,49513048.95,176,1,Estructurado,0.03693089000000001,1.5,0.02462059333333334,0.02447148502080987,1.5809087039258916,Low
Estructurado,CC CUPON ESCALONADO XLIX,CREDIFONDO SAF,27/12/2023,$,102.54,0.0225,0.0006,,,,,,,,,,0.0154856385,0.0006,0.0225,0.0116,113085083.6,399,1,Estructurado,0.0231134999999999,1.5,0.015408999999999935,0.015350242361301003,-0.3002625715884429,Low
Estructurado,CC CUPON ESCALONADO XLVI,CREDIFONDO SAF,16/11/2023,$,103.15,0.0228,0.0086,,,,,,,,,,0.0100409163,0.0086,0.0228,0.0157,158262440.4,523,1,Estructurado,0.031596079999999915,1.5,0.021064053333333277,0.02095465929633966,0.09507691009630877,Low
Estructurado,CC CUPON ESCALONADO XLVIII,CREDIFONDO SAF,22/12/2023,$,102.49,0.0227,0.0001,,,,,,,,,,0.0159806132,0.0001,0.0227,0.0114,54893114.88,210,1,Estructurado,0.022802269999999965,1.5,0.01520151333333331,0.015144319636457126,-0.30384818797459373,Low
Estructurado,CC CUPON ESCALONADO XXXII,CREDIFONDO SAF,29/05/2023,$,105.12,-1.0,0.0272,,,,,,,,,,0.7263400856,-1.0,0.0272,-0.4864,-0.03,1,1,Estructurado,-1.0,1.5,-0.6666666666666666,-1.0,-1.4043008505546264,High
Estructurado,CC CUPON ESCALONADO XXXVI,CREDIFONDO SAF,17/08/2023,$,104.41,0.0245,0.0177,,,,,,,,,,0.0048083261,0.0177,0.0245,0.0211,53988606.92,219,1,Estructurado,0.04263365000000007,1.5,0.028422433333333382,0.02822420887949928,1.7104099656425713,Low
Estructurado,IF 34 Custodia Dolares FMIV,INTERFONDO,26/06/2023,$,52.56,-1.0,0.0234,,,,,,,,,,0.7236530799,-1.0,0.0234,-0.4883,-34.12,356,1,Estructurado,-1.0,1.5,-0.6666666666666666,-1.0,-1.4095151783793298,High
Estructurado,IF 35 Custodia Dólares FMIV,INTERFONDO,27/11/2023,$,51.67,0.0231,0.0071,,,,,,,,,,0.0113137085,0.0071,0.0231,0.0151,71394925.06,395,1,Estructurado,0.03036400999999998,1.5,0.02024267333333332,0.020141590335160497,0.012514935766684906,Low
Estructurado,IF 36 Custodio Dólares FMIV,INTERFONDO,21/12/2023,$,51.39,0.022,0.0028,,,,,,,,,,0.0135764502,0.0028,0.022,0.0124,59557710.3,320,1,Estructurado,0.024861599999999838,1.5,0.016574399999999892,0.01650647035083308,-0.25732276093547046,Low
Estructurado,IF 37 Custodia Dólares FMIV,INTERFONDO,23/01/2024,$,51.05,0.0172,,,,,,,,,,,,0.0172,0.0172,0.0172,49346705.56,382,0,Estructurado,0.017200000000000132,0.5,0.034400000000000264,0.034695840000000144,,
Estructurado,IF 38 Custodia Dólares,INTERFONDO,26/02/2024,$,50.66,0.011,,,,,,,,,,,,0.011,0.011,0.011,55363036.82,336,0,Estructurado,0.010999999999999944,0.5,0.021999999999999888,0.022120999999999835,,
Estructurado,IF 39 Custodia Dólares,INTERFONDO,27/06/2024,$,50.14,0.0002,,,,,,,,,,,,0.0002,0.0002,0.0002,70962943.98,418,0,Estructurado,0.00019999999999996022,0.5,0.00039999999999992044,0.0004000399999999349,,
Estructurado,SF Inversiones Smart $ I,SCOTIA FONDOS,06/06/2024,$,100.6,0.0024,,,,,,,,,,,,0.0024,0.0024,0.0024,92858016.84,301,0,Estructurado,0.002399999999999949,0.5,0.004799999999999898,0.004805759999999992,,
Estructurado,SF Rendimiento Binario $ XI,SCOTIA FONDOS,09/01/2022,$,104.52,0.0181,0.0289,-0.0052,,,,,,,,,0.01742766,-0.0052,0.0289,0.0139,66885621.22,238,2,Estructurado,0.042075969931999996,2.5,0.0168303879728,0.016622582353033488,-0.1937963930307633,Low
Renta Mixta Crecimiento Soles,CRED. CRECIMIENTO VCS,CREDIFONDO SAF,19/06/2008,S/.,161.29,0.1046,0.1561,-0.007,0.0144,0.0319,0.039,-0.0641,0.1833,0.3873,-0.2569,-0.0369,0.1629421024,-0.2569,0.3873,0.0502,28881277.77,543,16,Renta Mixta,0.5164406976961269,10.5,0.049184828352012086,0.04045061118624238,0.12550845291070933,Medium High
Renta Mixta Balanceado Dólares,CRED. EQUILIBRADO,CREDIFONDO SAF,03/09/2007,$,142.97,0.0553,0.1281,-0.0036,-0.0317,-0.0131,0.0576,-0.0723,0.1401,0.2536,-0.2343,-0.0592,0.1292765591,-0.2343,0.2536,0.02,20440564.99,337,17,Renta Mixta,0.14505730245875184,10.5,0.013814981186547795,0.012984015591087639,-0.05427112585418714,Medium
Renta Mixta Balanceado Dólares,IF MIXTO BALANCEADO,INTERFONDO,31/12/1995,$,67.19,0.0418,0.1257,-0.0022,-0.0388,-0.0322,0.0162,-0.0673,0.1365,0.2485,-0.2057,-0.0538,0.1216103472,-0.2057,0.2485,0.0153,14932309.87,638,29,Renta Mixta,0.10026312776483635,10.5,0.009548869310936795,0.009141469204400732,-0.08928953041916214,Medium
Renta Mixta Balanceado Dólares,SCOTIA FONDO MIXTO BALANCEADO,SCOTIA FONDOS,17/04/2007,$,10.49,0.0093,0.0994,0.0318,-0.0841,-0.0418,0.0268,-0.0685,0.0608,0.2688,-0.2327,-0.0668,0.1263999295,-0.2327,0.2688,0.0003,5167666.46,235,17,Renta Mixta,-0.07378654948369899,10.5,-0.007027290427018952,-0.007273472926446756,-0.21577126691709708,Medium
Renta Mixta Moderado Soles,CRED. MODERADO VCS,CREDIFONDO SAF,16/06/2008,S/.,156.9,0.0477,0.0881,-0.0002,-0.0247,0.0285,0.0395,-0.0157,0.0945,0.1572,-0.0874,0.0066,0.0666655097,-0.0874,0.1572,0.0304,9813144.61,261,16,Renta Mixta,0.36105278023210474,10.5,0.03438597906972426,0.02979314575075831,0.14689973563283668,Medium Low
Renta Mixta Moderado Soles,IF INVERSION FLEXIBLE,INTERFONDO,30/10/2007,S/.,156.11,0.0539,0.0684,0.0086,0.0011,0.0125,0.0177,-0.0048,0.0933,0.1824,-0.0636,0.0278,0.0637135907,-0.0636,0.1824,0.0361,10836845.71,326,17,Renta Mixta,0.4505365296107388,10.5,0.04290824091530846,0.03605708005371633,0.25201970062121026,Medium Low
Renta Mixta Moderado Dólares,CRED. MODERADO,CREDIFONDO SAF,14/09/2002,$,56.36,0.0281,0.0766,-0.0166,-0.0229,0.0021,0.0526,-0.0509,0.0781,0.1267,-0.1292,-0.0304,0.0716957574,-0.1292,0.1267,0.0104,29547475.38,425,22,Renta Mixta,0.09200272125482016,10.5,0.008762163929030491,0.008417454866386898,-0.16155133237511626,Medium Low
Inst. Deuda Mediano Plazo S/,BBVA RENTA MED. PLAZO S/.,CONTINENTAL FM,17/10/1997,S/.,359.06,0.0236,0.1032,0.0056,-0.0486,0.0347,0.0627,0.0154,0.0667,0.0522,0.0084,0.0361,0.0396720832,-0.0486,0.1032,0.0327,156199815.3,5501,27,Renta Fija,0.4145240445520784,10.5,0.03947848043353128,0.0335793914768161,0.342290860007475,Low
Inst. Deuda Mediano Plazo S/,CC CONSERV. MED. PLAZO S/.,CREDIFONDO SAF,03/09/2007,S/.,200.25,0.0351,0.0917,0.0023,-0.0343,0.0467,0.0619,0.0231,0.0662,0.0651,0.0262,0.0417,0.0345542762,-0.0343,0.0917,0.0387,368903214.2,4704,17,Renta Fija,0.5099176008549997,10.5,0.0485635810338095,0.04002353321373464,0.5794806147244561,Low
Inst. Deuda Mediano Plazo S/,IF MEDIANO PLAZO SOLES,INTERFONDO,14/03/2002,S/.,210.69,0.0308,0.0926,-0.0675,-0.0386,0.0283,0.0492,0.0187,0.0597,0.0465,0.0185,0.041,0.044501479,-0.0675,0.0926,0.0254,51557376.94,3229,22,Renta Fija,0.3048089232472242,10.5,0.0290294212616404,0.025662479076790312,0.12724249180100985,Low
Inst. Deuda Mediano Plazo S/,SURA RENTA SOLES,FONDOS SURA SAF,19/05/2006,S/.,217.4,0.0312,0.0786,0.0132,-0.0256,0.0494,0.0569,0.0361,0.0626,0.0566,-0.0016,0.0507,0.0308497002,-0.0256,0.0786,0.0371,81386921.32,706,18,Renta Fija,0.48619614576687153,10.5,0.046304394834940144,0.0384562462347362,0.5982633904084488,Low
Inst. Deuda Mediano Plazo $,BBVA RENTA MED. PLAZO $,CONTINENTAL FM,21/10/1997,$,200.86,0.0224,0.0607,-0.0366,-0.0268,0.0257,0.0565,-0.0039,0.0245,0.0072,-0.0074,0.0085,0.0305544908,-0.0366,0.0607,0.0119,177449055.5,2106,27,Renta Fija,0.1336860486291593,10.5,0.012732004631348506,0.012021620389663923,-0.2611197045488344,Low
Inst. Deuda Mediano Plazo $,CREDICORP CONSER. MED. PLA. $,CREDIFONDO SAF,26/03/1996,$,262.2,0.0262,0.0603,-0.036,-0.0063,0.0401,0.0629,-0.0058,0.0303,0.0177,0.0013,0.011,0.0298528147,-0.036,0.0629,0.0183,602541809.2,5984,28,Renta Fija,0.21599896078535707,10.5,0.020571329598605435,0.018799859855150203,-0.04020190916368759,Low
Inst. Deuda Mediano Plazo $,IF MEDIANO PLAZO,INTERFONDO,09/01/1997,$,110.99,0.0143,0.0331,-0.0439,-0.0142,0.0309,0.044,-0.0026,0.0228,0.0146,-0.0033,0.0116,0.024815937,-0.0439,0.044,0.0098,82708932.42,3915,27,Renta Fija,0.10929275741484773,10.5,0.010408834039509308,0.009927300201560962,-0.40589641239172386,Low
Inst. Deuda Corto Plazo S/,BBVA CASH SOLES,CONTINENTAL FM,12/02/2008,S/.,159.73,0.0302,0.0713,0.038,0.001,0.0091,0.0249,0.0199,0.0317,0.038,0.0324,0.0294,0.01801955,0.001,0.0713,0.0296,2336045532.0,70321,16,Renta Fija,0.3766397844734249,10.5,0.0358704556641357,0.03091054629203338,0.6054838379445314,Low
Inst. Deuda Corto Plazo S/,BBVA PERU SOLES,CONTINENTAL FM,23/03/2011,S/.,150.16,0.0311,0.0627,0.023,-0.0109,0.0204,0.0234,0.0227,0.0374,0.0429,0.0233,0.0286,0.0178625001,-0.0109,0.0627,0.0277,6870448.62,315,13,Renta Fija,0.34843441072696746,10.5,0.03318422959304452,0.02888004781649145,0.4971335348791096,Low
Inst. Deuda Corto Plazo S/,BBVA RENTA CORTO PLAZO S/.,CONTINENTAL FM,27/12/2005,S/.,192.78,0.0295,0.0768,0.0272,-0.0195,0.0245,0.0378,0.0222,0.045,0.0443,0.0297,0.0326,0.0228037756,-0.0195,0.0768,0.0318,276014134.7,4905,19,Renta Fija,0.4080235353820274,10.5,0.038859384322097845,0.0331260805842033,0.5756099697895334,Low
Inst. Deuda Corto Plazo S/,BBVA TESORERIA SOLES FMIV,CONTINENTAL FM,10/03/2018,S/.,123.18,0.0312,0.0708,0.0344,0.0014,0.0138,0.032,0.0073,,,,,0.0232128351,0.0014,0.0708,0.0273,201489307.6,381,6,Renta Fija,0.20541942000782798,6.5,0.031602987693512,0.02915976120620578,0.39459898658418424,Low
Inst. Deuda Corto Plazo S/,CRED. CONSER. CORTO PLAZO S/,CREDIFONDO SAF,02/10/2014,S/.,150.3,0.0326,0.0754,0.0329,-0.0076,0.0307,0.0377,0.0293,0.0457,0.0491,0.0479,0.0321,0.019910171,-0.0076,0.0754,0.0369,579456773.9,10438,10,Renta Fija,0.48682161077744124,10.5,0.04636396293118488,0.03849786058556437,0.9290658822349828,Low
Inst. Deuda Corto Plazo S/,CRED. CONSERVAD. LIQUIDEZ S/,CREDIFONDO SAF,04/06/2000,S/.,327.82,0.0296,0.0721,0.0457,0.002,0.0136,0.0302,0.0281,0.0388,0.0424,0.035,0.0334,0.0178643678,0.002,0.0721,0.0337,1882497471.0,30929,24,Renta Fija,0.4380610273258324,10.5,0.04172009784055547,0.035205119559909015,0.8511423258935038,Low
Inst. Deuda Corto Plazo S/,DIVISO CONSERVADOR SOLES,DIVISO FONDOS SAF S.A.,31/07/2013,S/.,146.28,-0.0662,0.077,0.0495,0.0145,0.0217,0.04,0.0361,0.0543,0.0588,0.0383,0.0352,0.0370518384,-0.0662,0.077,0.0327,9162875.23,200,11,Renta Fija,0.41445042354794653,10.5,0.03947146890932824,0.03357426810151454,0.36635882827111044,Low
Inst. Deuda Corto Plazo S/,SF Liquidez S/.,SCOTIA FONDOS,30/01/2023,S/.,11.09,0.0271,0.0635,,,,,,,,,,0.0257386868,0.0271,0.0635,0.0453,1054430710.0,12662,1,Renta Fija,0.09232084999999984,1.5,0.06154723333333323,0.06063710345364415,1.5788335966559157,Low
Inst. Deuda Corto Plazo S/,SURA CORTO PLAZO SOLES,FONDOS SURA SAF,25/03/2009,S/.,185.23,0.0335,0.067,0.0394,-0.0067,0.0296,0.0429,0.0324,0.0505,0.0526,0.0362,0.0438,0.0184189823,-0.0067,0.067,0.0383,104117637.7,730,15,Renta Fija,0.5094458873561447,10.5,0.04851865593868045,0.0399925846634579,1.0854337301501125,Low
Inst. Deuda Corto Plazo S/,SURA ULTRA CASH SOLES,FONDOS SURA SAF,05/09/2012,S/.,159.48,0.0309,0.0732,0.0462,0.0052,0.0156,0.0334,0.0303,0.0423,0.048,0.0419,0.0375,0.0176978016,0.0052,0.0732,0.0368,1406112805.0,2694,12,Renta Fija,0.48555047416576286,10.5,0.04624290230150122,0.0384132708446534,1.0404270123953363,Low
Inst. Deuda Corto Plazo $,BBVA CASH DOLARES,CONTINENTAL FM,12/02/2008,$,119.68,0.0247,0.0442,0.0122,0.001,0.0071,0.0188,0.0149,0.0082,0.0035,0.0013,0.0009,0.0131153553,0.0009,0.0442,0.0124,2959522214.0,19699,16,Renta Fija,0.14468131998697117,10.5,0.013779173332092493,0.012952333182516096,-0.5373599613793082,Low
Inst. Deuda Corto Plazo $,BBVA RENTA CORTO PLAZO $,CONTINENTAL FM,16/06/2000,$,174.98,0.0256,0.0465,0.0036,0.0021,0.0118,0.0238,0.0173,0.0123,0.0084,-0.0056,0.0012,0.0145950178,-0.0056,0.0465,0.0134,648529609.0,2663,24,Renta Fija,0.15603726762343456,10.5,0.014860692154612816,0.013905123385501872,-0.4175998068668425,Low
Inst. Deuda Corto Plazo $,CRED. CONSER. CORTO PLAZO $,CREDIFONDO SAF,18/02/2014,$,122.39,0.026,0.0516,0.0145,0.0034,0.0241,0.0297,0.0166,0.0135,0.0114,0.0075,0.0038,0.0140306872,0.0034,0.0516,0.0184,1352590299.0,5345,10,Renta Fija,0.22057991434663804,10.5,0.021007610890156004,0.019164767754104695,-0.05952896205221551,Low
Inst. Deuda Corto Plazo $,CRED. CONSERVADOR LIQUIDEZ $,CREDIFONDO SAF,05/06/1999,$,184.53,0.0253,0.0483,0.0158,0.0028,0.0099,0.0219,0.0164,0.0088,0.0059,0.0043,0.0025,0.0135320226,0.0025,0.0483,0.0147,2986046639.0,14539,25,Renta Fija,0.1733247463343244,10.5,0.016507118698507087,0.015339448704321468,-0.3444090682850716,Low
Inst. Deuda Corto Plazo $,DIVISO CONSERVADOR DOLARES,DIVISO FONDOS SAF S.A.,19/03/2015,$,111.26,-0.0977,0.0536,0.0088,0.0293,0.0262,0.034,0.0222,0.0191,0.0264,-0.0098,,0.0416208134,-0.0977,0.0536,0.0112,3993197.7,89,9,Renta Fija,0.10896683518214303,9.5,0.011470193177067689,0.010946724087709692,-0.21751799575090258,Low
Inst. Deuda Corto Plazo $,FARO CORTO PLAZO DOLARES,FARO CAPITAL SAFI,08/09/2022,$,0.0,,,,,,,,,,,,,0.0,0.0,,8236943.49,23,2,Renta Fija,,,,,,
Inst. Deuda Corto Plazo $,-FARO CORTO PLAZO DOLARES SERIE A,FARO CAPITAL SAFI,08/09/2022,$,104.48,0.0255,0.0089,0.0094,,,,,,,,,0.0094429868,0.0089,0.0255,0.0146,,1,2,Renta Fija,0.044352443330000144,2.5,0.017740977332000057,0.017510348454968794,-0.26365085515434655,Low
